store,centerxy_gla_1mi,centerxy_count_1mi,centerxy_gla_2mi,centerxy_count_2mi,centerxy_gla_3mi,centerxy_count_3mi,centerxy_gla_5mi,centerxy_count_5mi,centerxy_gla_10mi,centerxy_count_10mi,centerxy_0p5_intersect_gla,centerxy_0p5_intersect_count,centerxy_full_nearest_dist,centerxy_full_gla_1mi,centerxy_full_count_1mi,centerxy_full_gla_2mi,centerxy_full_count_2mi,centerxy_full_gla_5mi,centerxy_full_count_5mi,centerxy_full_gla_3mi,centerxy_full_count_3mi,centerxy_full_gla_10mi,centerxy_full_count_10mi,centerxy_full_0p5_intersect_gla,centerxy_full_0p5_intersect_count,centerxy_gla_effective_1mi,centerxy_gla_effective_3mi,centerxy_gla_effective_2mi,centerxy_gla_effective_5mi,centerxy_gla_effective_10mi,places_of_worship_1mi,places_of_worship_2mi,places_of_worship_3mi,places_of_worship_5mi,country_code,dmm_nearest_dist,dmm_gla_1mi,dmm_count_1mi,dmm_gla_2mi,dmm_count_2mi,dmm_gla_3mi,dmm_count_3mi,places_of_worship_10mi,dmm_gla_5mi,dmm_count_5mi,banks_1mi,dmm_gla_10mi,dmm_count_10mi,banks_2mi,banks_3mi,banks_5mi,hrsa_hospitals_nearest_dist,banks_10mi,hrsa_number_of_certified_beds_1mi,hrsa_hospitals_1mi,hrsa_number_of_certified_beds_2mi,hrsa_hospitals_2mi,hrsa_number_of_certified_beds_3mi,hrsa_hospitals_3mi,hrsa_number_of_certified_beds_5mi,hrsa_hospitals_5mi,hrsa_number_of_certified_beds_10mi,hrsa_hospitals_10mi,inrix_aadt_ns,inrix_ns_distance,inrix_breakfast_ns,inrix_lunch_ns,inrix_afternoon_ns,inrix_dinner_ns,inrix_night_ns,inrix_overnight_ns,inrix_aadt_ew,inrix_ew_distance,inrix_breakfast_ew,inrix_lunch_ew,inrix_afternoon_ew,inrix_dinner_ew,inrix_night_ew,inrix_overnight_ew,ipeds_postsecondary_nearest_dist,ipeds_postsecondary_schools_total_enrollment_1mi,ipeds_postsecondary_schools_1mi,ipeds_postsecondary_schools_total_enrollment_2mi,ipeds_postsecondary_schools_2mi,ipeds_postsecondary_schools_total_enrollment_3mi,ipeds_postsecondary_schools_3mi,ipeds_postsecondary_schools_total_enrollment_5mi,ipeds_postsecondary_schools_5mi,ipeds_postsecondary_schools_total_enrollment_10mi,ipeds_postsecondary_schools_10mi,sports_venues_1mi,sports_venues_2mi,sports_venues_3mi,sports_venues_5mi,sports_venues_10mi,military_installations_1mi,military_installations_2mi,military_installations_3mi,military_installations_5mi,military_installations_10mi,nces_private_schools_nearest_dist,nces_private_schools_total_enrollment_1mi,nces_private_schools_1mi,nces_private_schools_total_enrollment_2mi,nces_private_schools_2mi,nces_private_schools_total_enrollment_3mi,nces_private_schools_3mi,nces_private_schools_total_enrollment_5mi,nces_private_schools_5mi,nces_public_schools_nearest_dist,nces_private_schools_total_enrollment_10mi,nces_public_schools_total_enrollment_1mi,nces_private_schools_10mi,nces_public_schools_1mi,nces_public_schools_total_enrollment_2mi,nces_public_schools_2mi,nces_public_schools_total_enrollment_3mi,nces_public_schools_3mi,nces_public_schools_total_enrollment_5mi,nces_public_schools_5mi,precip,snowfall,maxtemp,mintemp,avgmax40,avgmax50,avgmax60,avgmax70,avgmax80,avgmax90,avgmax100,nces_public_schools_total_enrollment_10mi,nces_public_schools_10mi,osm_nearest_exit_dist,osm_highway_exits_count_1mi,osm_highway_exits_count_2mi,osm_highway_exits_count_3mi,osm_highway_exits_count_5mi,osm_highway_exits_count_10mi,transitstop_nearest_dist,transitstops
SK 1504,198023.0,1,307544.0,2,1969648.0,11,5770569.0,20,15317967.0,50,0.0,0,0.5022571494574961,198023.0,1,307544.0,2,5911605.0,22,2110684.0,13,16455206.0,65,0.0,0,455258.02946446,3352992.8319713203,664252.40234337,8060988.3492220305,18816181.62040089,5,30,76,128,US,0.5125616654688245,198023.0,1,198023.0,1,1778157.0,4,314,4566520.0,9,3,14953792.0,31,10,26,41,0.21891063503892,120,1.0,1,2.0,2,42.0,3,543.0,8,1451.0,17,2540,0.0849161339257433,294.0,347.0,389.0,357.0,194.0,44.0,20933,0.0345096145131724,5185.0,4099.0,4281.0,3967.0,2475.0,925.0,2.0666422343965145,0.0,0,0.0,0,334.0,1,1031.0,3,2956.0,9,0,0,0,0,0,0,0,0,0,0,1.0103521672408335,0.0,0,24.0,1,558.0,4,765.0,5,0.8359192998771541,4464.0,357.0,25,1,9132.0,9,21402.0,31,36786.0,51,362.1,0.0,78.7,55.3,362.7,350.7,322.0,265.7,187.0,100.7,5.0,110757.0,174,1.8755413691008669,0,2,17,45,123,14.818824473802882,0
SK 0057,253302.0,2,1002488.0,7,3381962.0,11,5522926.0,20,6507331.0,25,253302.0,2,0.0902990742201539,253302.0,2,1151491.0,9,6754293.0,37,4067734.0,20,8582600.0,54,253302.0,2,253302.0,3113756.4574443246,1297196.693957145,6407709.839804089,7381541.275923528,12,82,109,154,US,1.2674443643573694,0.0,0,192802.0,1,2657994.0,4,305,3793018.0,7,6,4035774.0,8,15,30,52,1.6902167754993986,93,0.0,0,349.0,1,613.0,3,1079.0,5,1922.0,8,13891,0.0278677879078115,2770.0,2784.0,3419.0,2919.0,1630.0,369.0,1404,0.0773066064935972,181.0,191.0,221.0,178.0,82.0,29.0,1.6868366535203747,0.0,0,16724.0,2,18733.0,4,18929.0,6,24586.0,8,0,0,0,0,0,0,0,0,1,1,1.7987155335432572,0.0,0,481.0,1,4511.0,10,7747.0,15,0.682489882844715,10530.0,998.0,30,1,3403.0,6,6852.0,13,15818.0,27,661.5,0.2,77.5,57.0,363.6,355.2,324.7,266.4,178.7,65.1,0.6,45635.0,78,2.617071646970568,0,0,3,14,58,49.572856439634585,0
SK 1415,715612.0,3,1361502.0,7,2027580.0,10,4001581.0,16,13191004.0,49,343307.0,2,0.0991710694119696,767612.0,4,1504997.0,9,4433662.0,23,2273210.0,14,14822428.0,73,395307.0,3,1035500.73888435,2753603.3338332823,1917870.77155597,4153869.0355602633,12148432.09114175,6,23,57,78,US,0.1198267446245102,480313.0,2,788450.0,3,1346911.0,5,277,3139452.0,8,8,10290603.0,22,15,25,40,2.425998611170728,141,0.0,0,0.0,0,506.0,3,506.0,3,1993.0,11,460,0.1248900127670877,53.0,43.0,52.0,43.0,23.0,21.0,5372,0.1309227174449524,454.0,521.0,704.0,632.0,351.0,56.0,0.3589954645449608,225.0,1,10568.0,2,10568.0,2,10568.0,2,58310.0,8,0,0,0,0,0,0,0,0,0,0,0.5615505859304728,308.0,1,516.0,2,1028.0,4,2194.0,7,0.6765853807960961,8151.0,678.0,27,2,2820.0,9,9180.0,18,15507.0,29,431.1,11.2,65.2,44.3,315.0,271.9,225.5,174.9,110.1,28.5,1.0,55532.0,96,0.1949367571797073,2,8,25,45,162,3.5183078865700126,0
SK 1231,415300.0,2,588410.0,3,1850924.0,5,4825186.0,14,21089283.0,76,415300.0,2,0.3387102237340057,415300.0,2,588410.0,3,5499793.0,24,2019110.0,8,24562434.0,124,415300.0,2,414180.97674228,2045420.04196729,622233.8955298599,4626572.620504744,20119605.60466617,10,50,116,393,US,0.3490926672135319,209908.0,1,209908.0,1,1188476.0,2,1202,3562389.0,5,13,15277908.0,36,38,48,71,0.4756819822802429,237,723.0,2,787.0,3,787.0,3,787.0,3,3746.0,15,1007,0.0296548371422654,160.0,130.0,155.0,128.0,66.0,27.0,21638,0.0242653551990932,4323.0,4088.0,4434.0,4164.0,3469.0,1160.0,1.364695181399895,0.0,0,49875.0,2,49908.0,3,50333.0,4,117779.0,22,0,0,0,0,0,0,0,0,0,0,0.7472072390253239,360.0,1,1154.0,4,3616.0,9,5131.0,23,0.1293217905709388,22384.0,1432.0,96,3,2930.0,7,7588.0,17,29823.0,52,621.8,0.0,83.9,71.4,365.0,365.0,364.0,353.8,274.7,63.3,0.0,121834.0,184,1.3930428206669263,0,6,31,61,114,0.0217902263330431,25
SK 1535,308913.0,2,1148114.0,7,3823444.0,13,10583744.0,45,36941461.0,156,0.0,0,0.1561246991431644,582021.0,5,1653150.0,13,12091985.0,64,4478125.0,21,42173664.0,221,97937.0,1,308913.0,3189100.99647436,1200362.7150446,10580779.31417307,39230677.980482526,12,58,117,273,US,0.621040088648809,182824.0,1,453417.0,2,2085537.0,5,903,6639304.0,22,5,28358845.0,69,13,37,105,1.4800739086424706,394,0.0,0,33.0,2,334.0,7,972.0,17,4507.0,40,1126,0.0628043450740026,292.0,205.0,239.0,228.0,120.0,41.0,8632,0.0371057046872631,1713.0,1577.0,1944.0,1938.0,1162.0,298.0,1.766812279480943,0.0,0,535.0,1,804.0,3,1561.0,6,40760.0,19,0,0,0,0,0,0,0,0,0,0,1.841182130523452,0.0,0,2205.0,3,3670.0,6,11543.0,30,0.4594575227860577,30641.0,2524.0,103,5,4945.0,10,19741.0,28,47129.0,69,416.1,0.0,75.6,54.6,358.3,337.5,296.9,239.0,158.8,80.4,8.8,179702.0,280,0.7119494503340975,3,14,23,72,366,0.0552894888810697,17
SK 1518,863487.0,4,977268.0,5,1727955.0,8,2480981.0,13,4480189.0,22,386517.0,1,0.4140659123121014,955725.0,5,1135134.0,7,2751165.0,17,1885821.0,10,5545914.0,37,386517.0,1,2088344.52405715,3498896.88942914,2202125.52405715,4289191.498391829,6740655.808045094,21,43,69,96,US,0.4281928872405445,727065.0,2,1234985.0,3,1886468.0,5,487,2124970.0,6,7,3745325.0,10,8,18,25,0.0475948982157452,66,1.0,1,1.0,1,1.0,1,5.0,2,5.0,2,1750,0.1026484620955903,599.0,281.0,337.0,286.0,139.0,109.0,22499,0.0405093183043942,2482.0,2139.0,2397.0,2279.0,1409.0,423.0,4.9579168445537,0.0,0,0.0,0,0.0,0,140.0,1,205.0,2,0,0,0,0,0,0,0,0,0,0,1.1140755596379848,0.0,0,49.0,1,66.0,2,66.0,2,0.1226046339740221,1194.0,7958.0,12,5,15591.0,15,22583.0,36,35169.0,55,545.8,0.0,79.4,57.2,363.9,355.9,329.2,277.1,196.0,95.0,2.3,127435.0,187,0.6099282335859205,3,6,24,45,171,1.3854699838158586,0
SK 1118,254132.0,2,494779.0,3,2772519.0,10,6977277.0,21,26787918.0,98,0.0,0,0.579886243221005,345669.0,3,657316.0,5,7931698.0,32,3102106.0,14,29633352.0,132,0.0,0,708921.43675692,5610734.11109786,1019511.85363457,10956400.01133746,34783490.4431076,24,40,64,140,US,0.1739813069583246,248196.0,1,988843.0,3,2045409.0,6,514,8534558.0,19,9,21490944.0,50,21,28,75,1.8848134738038231,216,0.0,0,70.0,1,133.0,2,394.0,8,2327.0,30,21827,0.0373536418685566,5701.0,4531.0,4673.0,4306.0,2043.0,574.0,1092,0.0736704640133466,179.0,203.0,219.0,192.0,94.0,27.0,0.6080418537965109,34.0,1,34.0,1,34.0,1,34.0,1,50294.0,3,0,0,0,0,0,0,0,0,0,0,1.014076964016541,0.0,0,363.0,2,4877.0,9,5602.0,16,0.676514751890639,11534.0,1472.0,44,3,9261.0,13,25167.0,29,69746.0,77,416.1,0.0,75.6,54.6,358.3,337.5,296.9,239.0,158.8,80.4,8.8,182123.0,229,1.6876176377594283,0,3,9,46,134,4.613570872017554,0
SK 1462,533579.0,2,740896.0,3,1179616.0,6,3611784.0,13,8598038.0,37,377000.0,1,0.1952483012574746,533579.0,2,872396.0,5,4381100.0,24,1565846.0,12,10818832.0,67,377000.0,1,573814.2786784701,1305261.05355936,781131.2786784701,3315161.0903923903,8655541.50382538,8,22,43,118,US,0.1812997101603268,424192.0,1,424192.0,1,424192.0,1,448,2340676.0,4,8,5342196.0,12,10,15,39,2.443123954738499,151,0.0,0,0.0,0,660.0,1,876.0,3,3222.0,11,7647,0.0229652768982037,1693.0,1447.0,1867.0,1584.0,851.0,205.0,22144,0.0234392555831052,5819.0,4370.0,4726.0,4051.0,2373.0,805.0,5.836019062217568,0.0,0,0.0,0,0.0,0,0.0,0,36570.0,10,0,0,0,0,0,0,0,0,0,0,0.079936919375226,304.0,2,429.0,4,445.0,5,2523.0,12,0.246426645751416,10143.0,453.0,51,1,8127.0,9,10585.0,12,24299.0,35,547.0,0.0,81.9,65.6,365.0,364.2,355.8,320.6,237.7,71.2,0.0,58654.0,96,4.327412874976414,0,0,0,2,62,0.1187928914758146,18
SK 1023,105763.0,1,667409.0,3,1872561.0,7,2378197.0,9,2378197.0,9,0.0,0,0.1153986530536756,163291.0,2,971985.0,7,3004932.0,18,2177137.0,11,3281707.0,22,57528.0,1,105763.0,2933014.28801432,1333074.16696319,3679470.266132765,3679470.266132765,35,54,68,92,US,1.8563831193607292,0.0,0,594646.0,2,1562024.0,4,113,2312024.0,6,14,2312024.0,6,26,34,42,1.0545379007646385,45,0.0,0,1011.0,4,1011.0,4,1939.0,5,1939.0,5,1719,0.0072308637224386,225.0,336.0,366.0,373.0,324.0,97.0,13878,0.009895926399733,852.0,1348.0,1473.0,1538.0,1350.0,378.0,0.5420985057949103,41992.0,1,42883.0,4,42883.0,4,42883.0,4,48652.0,5,0,0,0,0,0,0,0,0,0,0,1.7258917581021025,0.0,0,292.0,1,2050.0,5,2514.0,6,0.9561485669204004,2843.0,764.0,7,1,3871.0,9,7146.0,16,12236.0,27,549.5,0.1,76.3,53.7,360.6,344.0,303.7,245.4,173.5,80.3,4.7,22773.0,43,1.0949950127751995,0,6,12,17,23,1.266726894388831,0
SK 1109,497679.0,4,659907.0,5,1674352.0,11,6331379.0,28,16696559.0,67,497679.0,4,0.0379273143564682,756123.0,7,918351.0,8,7203449.0,39,2203576.0,18,18927468.0,97,586204.0,5,904036.6609436,2014142.2655653665,1058356.98607099,5628375.887720075,16412427.990688993,18,26,42,136,US,0.4918954957535171,173000.0,1,173000.0,1,523000.0,2,432,4128081.0,11,11,11587520.0,30,17,37,75,1.5179631268571452,157,0.0,0,50.0,2,50.0,2,1586.0,7,2403.0,11,3676,0.0366395855896948,778.0,853.0,950.0,710.0,313.0,72.0,30445,0.0690084090730484,4123.0,3266.0,3435.0,2742.0,1236.0,294.0,3.344562576799643,0.0,0,0.0,0,0.0,0,225.0,1,35085.0,10,0,0,0,0,0,0,0,0,0,0,0.6874074578446007,17.0,1,140.0,3,631.0,7,5715.0,19,0.6547414418330596,12198.0,1842.0,51,1,5024.0,5,6760.0,8,23818.0,37,548.9,2.4,71.6,50.2,346.5,313.7,266.2,210.0,145.6,58.1,2.0,93730.0,146,2.720057994094819,0,0,6,28,107,14.807480636505264,0
