store,longitude,latitude,category,cbsa_name,dma_name,state_name,market_size,store_density
SK 1504,-97.650392,30.519353,SHOPPING,"Austin-Round Rock, TX","Austin, TX",Texas,Large Metro (2),Light Suburban
SK 0057,-88.17115,30.672501,SHOPPING,"Mobile, AL","Mobile et al, AL-FL",Alabama,Medium City (4),Light Suburban
SK 1415,-90.535722,38.78425,HOME,"St. Louis, MO-IL","St. Louis, MO",Missouri,Very Large Metro (1),Light Suburban
SK 1231,-80.1347,26.100737,TRAVEL,"Miami-Fort Lauderdale et al, FL","Miami-Ft. Lauderdale, FL",Florida,Very Large Metro (1),Suburban
SK 1535,-96.856651,32.996408,WORK,"Dallas-Fort Worth-Arlington, TX","Dallas-Ft. Worth, TX",Texas,Very Large Metro (1),Light Suburban
SK 1518,-95.171603,29.807303,HOME,"Houston-The Woodlands et al, TX","Houston, TX",Texas,Very Large Metro (1),Exurban
SK 1118,-96.805196,33.148555,SHOPPING,"Dallas-Fort Worth-Arlington, TX","Dallas-Ft. Worth, TX",Texas,Very Large Metro (1),Light Suburban
SK 1462,-82.794855,27.840922,HOME,"Tampa-St. Petersburg et al, FL","Tampa et al, FL",Florida,Very Large Metro (1),Light Suburban
SK 1023,-87.555301,33.211029,TRAVEL,"Tuscaloosa, AL","Birmingham et al, AL",Alabama,Medium City (4),Light Suburban
SK 1109,-89.80216,35.090647,SHOPPING,"Memphis, TN-MS-AR","Memphis, TN",Tennessee,Large Metro (2),Exurban
SK 0193,-97.742711,30.28796,TRAVEL,"Austin-Round Rock, TX","Austin, TX",Texas,Large Metro (2),Suburban
SK 0953,-78.960877,35.917939,HOME,"Durham-Chapel Hill, NC","Raleigh et al, NC",North Carolina,Large City (3),Exurban
SK 0311,-97.43592,37.69465,WORK,"Wichita, KS","Wichita et al, KS",Kansas,Large City (3),Light Suburban
SK 0015,-90.112829,29.946288,OTHER,"New Orleans-Metairie, LA","New Orleans, LA",Louisiana,Large Metro (2),Suburban
SK 1293,-82.24196,27.892305,HOME,"Tampa-St. Petersburg et al, FL","Tampa et al, FL",Florida,Very Large Metro (1),Exurban
SK 0045,-84.428803,33.84799,OTHER,"Atlanta-Sandy Springs et al, GA","Atlanta, GA",Georgia,Very Large Metro (1),Light Suburban
SK 0525,-94.723031,31.310104,SHOPPING,"Lufkin, TX","Tyler-Longview et al, TX",Texas,Small City (5),Exurban
SK 1397,-81.139557,35.261964,SHOPPING,"Charlotte-Concord et al, NC-SC","Charlotte, NC",North Carolina,Very Large Metro (1),Exurban
