store_num,medhhinc_dma,medhhinc_1mi,age0018_ta,age0018_p_ta,age65pl_ta,age65pl_p_ta,age85pl_ta,age85pl_p_ta,asian_ta,asian_p_ta,avg_faminc_ta,avghhinc_ta,black_ta,black_p_ta,boomer_ta,boomer_p_ta,com0002_p_ta,com0205_p_ta,com0508_p_ta,com0811_p_ta,com12pl_p_ta,crime_total_index_ta,daypop_dens_ta,disposable_inc_avg_ta,dtpop_ta,dtpop_children_at_home_ta,dtpop_children_at_home_p_ta,dtpop_homemakers_ta,dtpop_homemakers_p_ta,dtpop_retired_disabled_ta,dtpop_retired_disabled_p_ta,dtpop_students_ta,dtpop_students_9th_12th_ta,dtpop_students_9th_12th_p_ta,dtpop_students_p_ta,dtpop_students_post_secondary_ta,dtpop_students_post_secondary_p_ta,dtpop_students_prek_8th_ta,dtpop_students_prek_8th_p_ta,dtpop_unemployed_ta,dtpop_unemployed_p_ta,dtpop_work_at_home_ta,dtpop_work_at_home_p_ta,edu_9to12_ta,edu_9to12_p_ta,edu_assocdeg_ta,edu_assocdeg_p_ta,edu_bach_ta,edu_bach_p_ta,edu_bachplus_ta,edu_bachplus_female_ta,edu_bachplus_female_p_ta,edu_bachplus_male_ta,edu_bachplus_male_p_ta,edu_bachplus_p_ta,edu_doctorate_ta,edu_doctorate_p_ta,edu_highsch_ta,edu_highsch_p_ta,edu_lt9_ta,edu_lt9_p_ta,edu_master_ta,edu_master_p_ta,edu_profdeg_ta,edu_profdeg_p_ta,edu_somecollege_ta,edu_somecollege_p_ta,emp_accommodation_foodserv_p_ta,emp_admin_support_p_ta,emp_arts_entertainment_p_ta,emp_construction_p_ta,emp_educ_services_p_ta,emp_finance_insurance_p_ta,emp_healthcare_social_assistance_p_ta,emp_information_p_ta,emp_management_p_ta,emp_manfacturing_p_ta,emp_military_ta,emp_mining_p_ta,emp_other_p_ta,emp_p_ta,emp_professional_scientific_p_ta,emp_publicadmin_p_ta,emp_realestate_rentlease_p_ta,emp_retail_trade_p_ta,emp_transportation_storage_p_ta,emp_unknown_ta,emp_utilities_p_ta,emp_wholesale_trade_p_ta,empcy_ta,gdp_ta,genx_ta,genx_p_ta,genz_ta,genz_p_ta,gq_college_p_ta,gq_military_p_ta,gq_other_p_ta,hh_0vehicle_p_ta,hh_1pers_ta,hh_1pers_p_ta,hh_1vehicle_p_ta,hh_2pers_ta,hh_2pers_p_ta,hh_2vehicle_p_ta,hh_3pers_ta,hh_3pers_p_ta,hh_3vehicle_p_ta,hh_4pers_ta,hh_4pers_p_ta,hh_4vehicle_p_ta,hh_5pers_ta,hh_5pers_p_ta,hh_5vehicle_p_ta,hh_6pers_ta,hh_6pers_p_ta,hh_7pers_ta,hh_7pers_p_ta,hh_dens_ta,hh_inc_gt_500k_p_ta,hh_inc_gt_75k_ta,hh_inc_gt_75k_p_ta,hh_inc_lt_75k_ta,hh_inc_lt_75k_p_ta,hh_type_1pers_ta,hh_type_1pers_p_ta,hh_type_fam_ta,hh_type_fam_p_ta,hh_type_female_ta,hh_type_female_child_ta,hh_type_female_child_p_ta,hh_type_female_nochild_ta,hh_type_female_nochild_p_ta,hh_type_female_p_ta,hh_type_male_ta,hh_type_male_child_ta,hh_type_male_child_p_ta,hh_type_male_nochild_ta,hh_type_male_nochild_p_ta,hh_type_male_p_ta,hh_type_married_ta,hh_type_married_child_ta,hh_type_married_child_p_ta,hh_type_married_nochild_ta,hh_type_married_nochild_p_ta,hh_type_married_p_ta,hh_type_nonfam_ta,hh_type_nonfam_p_ta,hhcy_ta,hhgrfypy_ta,hhgrpycy_ta,hhinc100pl_ta,hhinc100pl_p_ta,hhinc150pl_ta,hhinc150pl_p_ta,hhinc30lt_ta,hhinc30lt_p_ta,hispanic_ta,hispanic_p_ta,hu_ownerocc_ta,hu_renterocc_ta,hu_vacant_ta,medhhinc_ta,medsalcy_ta,millenial_ta,millenial_p_ta,mortgage_avgrisk_ta,occ_bc_p_ta,occ_military_p_ta,occ_unclassified_ta,occ_unclassified_p_ta,occ_wc_p_ta,occhu_ta,other_ta,other_p_ta,percapita_inc_ta,pop5y_cagr_ta,pop_dens_ta,pop_migration_ta,pop_seasonal_ta,pop_transient_ta,popcy_ta,popgr10cn_ta,popgrfy_ta,popgrpy_ta,poverty_inpoverty_ta,poverty_inpoverty_p_ta,spend_breakfastbrunch_ta,spend_dinner_ta,spend_foodbev_ta,spend_lunch_ta,wealth_hhavg_ta,wealth_hhtotal_ta,white_ta,white_p_ta
SK 1504,85075.0,83846.0,21456.0,0.2907,6709.0,0.0909,372.0,0.005,4092.9205,0.0555,108837.0,106093.0,7266.3643,0.0985,12808.0,0.1735,0.0629,0.1726,0.1148,0.1464,0.5024,76.0,3323.8471,87217.0,63691.0,17298.0,0.2716,6418.0,0.1008,5437.0,0.0854,4917.0,447.0,0.007,0.0772,3461.0,0.0543,1008.0,0.0158,1155.0,0.0181,4061.0,0.0638,1822.0,0.041,3877.0,0.0872,10867.0,0.2445,15829.0,7949.0,0.1789,7880.0,0.1773,0.3562,388.0,0.0087,10045.0,0.226,2171.0,0.0489,4201.0,0.0945,372.0,0.0084,10699.0,0.2407,0.0865,0.0372,0.0202,0.0563,0.0804,0.0493,0.2599,0.008,0.0005,0.0564,0.0,0.0021,0.0495,0.3832,0.054,0.0098,0.0261,0.1742,0.0104,0.0047,0.0043,0.0075,24404.0,4986303.0,16771.0,0.2272,12804.0,0.1735,0.0,0.0,0.1463,0.0207,4910.0,0.1946,0.2764,7016.0,0.2781,0.4682,5055.0,0.2004,0.1609,4584.0,0.1817,0.0607,2215.0,0.0878,0.013,842.0,0.0334,601.0,0.0238,1316.3365,0.0142,16750.0,0.6641,8473.0,0.3359,4910.0,0.1946,18904.0,0.7494,3226.0,2001.0,0.0793,1226.0,0.0486,0.1279,1085.0,547.0,0.0217,538.0,0.0213,0.043,14592.0,7771.0,0.3081,6821.0,0.2704,0.5785,1410.0,0.0559,25223.0,8.1809,3.504,10945.0,0.4339,4872.0,0.1932,2479.0,0.0983,23417.3335,0.3173,16086.0,9138.0,1412.0,90049.1498,45625.22,12782.0,0.1732,2.9807,0.6397,0.0,127.0,0.0052,0.3551,25223.0,2885.0234,0.0391,36370.83,0.007727,3851.7334,397.0,148.0,701.0,73806.0,83.5446,8.3789,3.9235,1540.0,0.0611,7069439.0,40790484.0,230383651.0,23166216.0,240573.0,25223.0,36144.5593,0.4897
SK 0057,58200.0,50388.0,12717.0,0.2416,8094.0,0.1537,704.0,0.0134,1723.0,0.0327,80752.0,70536.0,20478.0003,0.389,10606.0,0.2015,0.1409,0.3199,0.2178,0.0927,0.228,217.0,3103.7434,56333.0,72136.0,10350.0,0.1435,8582.0,0.119,7656.0,0.1061,10925.0,252.0,0.0035,0.1515,10081.0,0.1397,592.0,0.0082,748.0,0.0104,1250.0,0.0173,2237.0,0.0647,3101.0,0.0897,7797.0,0.2256,12131.0,6815.0,0.1972,5316.0,0.1538,0.351,307.0,0.0089,8328.0,0.241,605.0,0.0175,2952.0,0.0854,1075.0,0.0311,8161.0,0.2361,0.0594,0.0499,0.018,0.0435,0.1728,0.0509,0.2541,0.0191,0.0057,0.0203,0.0,0.0005,0.0554,0.4523,0.0709,0.0213,0.0268,0.0958,0.025,0.0014,0.0,0.009,32625.0,3072896.0,9497.0,0.1804,7992.0,0.1518,0.9061,0.0,0.0527,0.0757,7343.0,0.3305,0.4152,7086.0,0.319,0.3515,3617.0,0.1628,0.1142,2478.0,0.1115,0.0309,1087.0,0.0489,0.0125,374.0,0.0168,231.0,0.0104,955.8718,0.0083,8559.0,0.3853,13657.0,0.6147,7343.0,0.3305,12926.0,0.5818,3785.0,2110.0,0.095,1675.0,0.0754,0.1704,800.0,267.0,0.012,533.0,0.024,0.036,8341.0,2707.0,0.1218,5634.0,0.2536,0.3755,1947.0,0.0876,22216.0,0.6098,0.3916,4214.0,0.1897,1857.0,0.0836,7052.0,0.3174,1951.0,0.0371,11844.0,10372.0,2150.0,47934.1324,43653.53,11213.0,0.213,2.8755,0.581,0.0,55.0,0.0017,0.4173,22216.0,1494.0,0.0284,29873.73,0.000785,2265.1614,487.0,277.0,838.0,52646.0,9.6569,0.6017,0.3932,4066.0,0.183,4724526.0,25460067.0,160135521.0,14653701.0,217054.0,22216.0,26999.9998,0.5129
SK 1415,66049.0,59999.0,10127.0,0.2198,8873.0,0.1926,677.0,0.0147,1082.0001,0.0235,106893.0,97112.0,2543.0001,0.0552,11868.0,0.2576,0.0708,0.1778,0.16,0.1815,0.4092,79.0,3134.6287,75294.0,39757.0,8101.0,0.2038,3087.0,0.0776,7491.0,0.1884,2264.0,179.0,0.0045,0.0569,1608.0,0.0404,477.0,0.012,560.0,0.0141,1543.0,0.0388,1386.0,0.0426,2427.0,0.0746,7833.0,0.2407,12560.0,6292.0,0.1933,6268.0,0.1926,0.3859,261.0,0.008,8179.0,0.2513,566.0,0.0174,3858.0,0.1185,608.0,0.0187,7427.0,0.2282,0.0829,0.0293,0.0344,0.0526,0.0584,0.0487,0.2333,0.0345,0.0013,0.0325,0.0,0.0,0.0569,0.4203,0.0724,0.0193,0.0301,0.1443,0.0567,0.0026,0.0023,0.0068,16711.0,3088755.0,8583.0,0.1863,5393.0,0.1171,0.0,0.0,0.3243,0.0384,6321.0,0.3175,0.3963,6914.0,0.3473,0.3782,3110.0,0.1562,0.1294,2260.0,0.1135,0.0475,867.0,0.0436,0.0102,304.0,0.0153,131.0,0.0066,1569.5614,0.0166,10824.0,0.5437,9083.0,0.4563,6321.0,0.3175,11996.0,0.6026,1844.0,858.0,0.0431,986.0,0.0495,0.0926,553.0,352.0,0.0177,201.0,0.0101,0.0278,9599.0,3042.0,0.1528,6557.0,0.3294,0.4822,1590.0,0.0799,19907.0,2.5237,0.7183,6332.0,0.3181,3218.0,0.1617,3419.0,0.1717,2148.0,0.0466,14034.0,5873.0,991.0,70900.9968,45726.76,8763.0,0.1902,2.7683,0.6471,0.0,43.0,0.0026,0.3504,19907.0,1326.0001,0.0288,42249.59,0.001424,3631.9812,144.0,170.0,489.0,46065.0,4.5643,2.5003,0.7142,1272.0,0.0639,4501211.0,24794631.0,151609187.0,14129014.0,245860.0,19907.0,38966.0005,0.8459
SK 1231,62779.0,97439.0,8623.0,0.206,8821.0,0.2108,775.0,0.0185,850.0585,0.0203,134373.0,149467.0,4175.6401,0.0998,10998.0,0.2628,0.0869,0.0501,0.1261,0.0988,0.6311,252.0,12673.0167,103298.0,85701.0,6737.0,0.0786,2841.0,0.0332,7924.0,0.0925,22802.0,103.0,0.0012,0.2661,22269.0,0.2598,430.0,0.005,338.0,0.0039,2413.0,0.0282,1251.0,0.0397,2622.0,0.0832,10344.0,0.3284,16966.0,6991.0,0.2219,9975.0,0.3166,0.5386,488.0,0.0155,4808.0,0.1526,603.0,0.0191,3830.0,0.1216,2304.0,0.0731,5252.0,0.1667,0.0755,0.0453,0.0194,0.0324,0.0726,0.0574,0.1508,0.0385,0.0113,0.027,0.0,0.0008,0.0416,0.4976,0.1417,0.1225,0.0421,0.0933,0.0177,0.0014,0.0036,0.0041,42646.0,6070430.0,9703.0,0.2318,2911.0,0.0696,0.0,0.0,0.1567,0.0671,10295.0,0.4653,0.499,8104.0,0.3663,0.369,2117.0,0.0957,0.0542,1051.0,0.0475,0.01,380.0,0.0172,0.0006,108.0,0.0049,69.0,0.0031,3271.6511,0.0336,15054.0,0.6804,7071.0,0.3196,10295.0,0.4653,8806.0,0.398,1201.0,562.0,0.0254,639.0,0.0289,0.0543,388.0,124.0,0.0056,264.0,0.0119,0.0175,7217.0,1890.0,0.0854,5327.0,0.2408,0.3262,3023.0,0.1366,22124.0,8.3586,14.2062,11216.0,0.507,7236.0,0.3271,2681.0,0.1212,6576.5309,0.1571,11904.0,10220.0,6050.0,101718.009,51943.36,7119.0,0.1701,3.0483,0.6007,0.0,88.0,0.0021,0.3972,22124.0,869.0078,0.0208,80832.57,0.024234,6188.8611,2750.0,1158.0,4978.0,41852.0,7.4904,7.6482,12.7188,1839.0,0.0831,4038906.0,23214366.0,146417939.0,12859709.0,255812.0,22124.0,29380.7098,0.702
SK 1535,76139.0,56156.0,17652.0,0.2866,7902.0,0.1283,348.0,0.0057,4425.0,0.0719,102367.0,96066.0,11912.9997,0.1935,12647.0,0.2054,0.0242,0.0604,0.0788,0.042,0.7924,101.0,5665.6061,73836.0,50087.0,13833.0,0.2762,2806.0,0.056,6658.0,0.1329,2952.0,233.0,0.0047,0.0589,1850.0,0.0369,869.0,0.0173,1123.0,0.0224,3239.0,0.0647,1437.0,0.036,2679.0,0.067,11699.0,0.2927,17405.0,9082.0,0.2272,8323.0,0.2083,0.4355,700.0,0.0175,7511.0,0.1879,1414.0,0.0354,4064.0,0.1017,942.0,0.0236,9520.0,0.2382,0.0678,0.0507,0.0149,0.0728,0.0501,0.0628,0.1594,0.0429,0.0071,0.1141,0.0,0.0001,0.0683,0.3888,0.0742,0.0116,0.0363,0.1222,0.0233,0.0056,0.002,0.0133,19476.0,5724387.0,13450.0,0.2184,6747.0,0.1096,0.0,0.0,0.0,0.0365,12224.0,0.4179,0.506,8755.0,0.2993,0.3421,3992.0,0.1365,0.0863,2656.0,0.0908,0.0226,1053.0,0.036,0.0066,363.0,0.0124,208.0,0.0071,3308.7358,0.0132,15034.0,0.514,14217.0,0.486,12224.0,0.4179,15004.0,0.5129,3294.0,2085.0,0.0713,1209.0,0.0413,0.1126,1303.0,592.0,0.0202,711.0,0.0243,0.0445,10407.0,4309.0,0.1473,6098.0,0.2085,0.3558,2023.0,0.0692,29251.0,1.9608,-6.1981,8376.0,0.2863,4351.0,0.1487,4409.0,0.1507,14640.9998,0.2378,10817.0,18434.0,2222.0,65966.8604,48080.7,11389.0,0.1849,3.0039,0.6692,0.0,111.0,0.0057,0.3251,29251.0,2319.9999,0.0377,45741.3,-0.011836,6965.7534,-319.0,88.0,336.0,61581.0,7.7442,2.1871,-5.7794,2340.0,0.08,5919218.0,32751951.0,207616741.0,18696840.0,216763.0,29251.0,28281.9992,0.4593
SK 1518,72903.0,63095.0,32938.0,0.2835,12475.0,0.1074,674.0,0.0058,2589.0003,0.0223,73468.0,72528.0,23407.0008,0.2015,20327.0,0.175,0.0002,0.0006,0.005,0.0195,0.9733,94.0,2211.5767,62016.0,94532.0,26573.0,0.2811,16088.0,0.1702,10251.0,0.1084,7542.0,663.0,0.007,0.0798,5359.0,0.0567,1521.0,0.0161,3150.0,0.0333,1360.0,0.0144,7869.0,0.1114,6207.0,0.0879,6078.0,0.0861,8674.0,5265.0,0.0745,3409.0,0.0483,0.1228,291.0,0.0041,20917.0,0.2962,11922.0,0.1688,2021.0,0.0286,284.0,0.004,15037.0,0.2129,0.0608,0.0283,0.0202,0.0524,0.1366,0.0385,0.139,0.0235,0.0025,0.0724,0.0,0.003,0.0594,0.3128,0.0388,0.041,0.0281,0.1705,0.0665,0.0024,0.0061,0.0088,29567.0,6166828.0,21705.0,0.1868,19964.0,0.1719,0.0,0.0,0.5607,0.044,6225.0,0.176,0.2987,8197.0,0.2317,0.3696,6316.0,0.1785,0.1975,6218.0,0.1758,0.0657,4411.0,0.1247,0.0245,2195.0,0.062,1814.0,0.0513,827.6245,0.0043,16282.0,0.4603,19094.0,0.5397,6225.0,0.176,27716.0,0.7835,6386.0,3777.0,0.1068,2609.0,0.0738,0.1805,3207.0,1710.0,0.0483,1497.0,0.0423,0.0907,18123.0,10308.0,0.2914,7815.0,0.2209,0.5123,1435.0,0.0406,35376.0,4.7752,3.1801,8080.0,0.2284,2943.0,0.0832,7246.0,0.2048,73193.001,0.6301,21938.0,13438.0,3151.0,58543.0809,47481.16,24636.0,0.2121,2.8835,0.6651,0.0,90.0,0.003,0.3318,35376.0,1450.0001,0.0125,22128.43,0.006205,2717.7132,576.0,149.0,194.0,116166.0,21.2,4.739,3.1412,5188.0,0.1467,10606865.0,57476025.0,361502275.0,33283282.0,205864.0,35376.0,15527.0004,0.1337
SK 1118,76139.0,92372.0,18988.0,0.279,6147.0,0.0903,350.0,0.0051,9918.1522,0.1457,129611.0,133864.0,6681.301,0.0982,12474.0,0.1833,0.0077,0.0041,0.0023,0.0013,0.9807,43.0,4161.0844,102826.0,58515.0,15333.0,0.262,8273.0,0.1414,5019.0,0.0858,4352.0,405.0,0.0069,0.0744,3051.0,0.0521,896.0,0.0153,1177.0,0.0201,4172.0,0.0713,1261.0,0.0302,3209.0,0.0768,14154.0,0.3386,22790.0,12015.0,0.2875,10775.0,0.2578,0.5453,551.0,0.0132,4360.0,0.1043,2162.0,0.0517,7180.0,0.1718,904.0,0.0216,8015.0,0.1918,0.0693,0.0117,0.0244,0.0556,0.1243,0.1432,0.2103,0.0319,0.0,0.0292,0.0,0.0009,0.065,0.345,0.0415,0.008,0.0258,0.1335,0.0145,0.0045,0.0,0.0048,20189.0,5973500.0,16293.0,0.2394,11631.0,0.1709,0.0,0.0,0.0,0.0286,5013.0,0.2073,0.3096,6690.0,0.2767,0.4599,4626.0,0.1913,0.1422,4899.0,0.2026,0.0462,1915.0,0.0792,0.0135,650.0,0.0269,388.0,0.016,1719.534,0.0291,17334.0,0.7168,6847.0,0.2832,5013.0,0.2073,18276.0,0.7558,3035.0,2003.0,0.0828,1032.0,0.0427,0.1255,874.0,509.0,0.0211,365.0,0.0151,0.0361,14366.0,8885.0,0.3674,5481.0,0.2267,0.5941,892.0,0.0369,24181.0,14.8867,17.6115,13148.0,0.5437,7693.0,0.3181,2673.0,0.1105,13348.7687,0.1961,16667.0,7514.0,1252.0,109042.4908,48149.95,10888.0,0.16,2.9629,0.6195,0.0,90.0,0.0045,0.3761,24181.0,1868.2882,0.0275,47601.19,0.032505,4839.7631,2036.0,96.0,0.0,68059.0,90.532,14.757,17.344,1407.0,0.0582,6682226.0,39623084.0,240416986.0,21937264.0,261606.0,24181.0,36242.4683,0.5325
SK 1462,60197.0,55124.0,7535.0,0.1552,15375.0,0.3167,2156.0,0.0444,1138.4113,0.0235,100009.0,96614.0,899.3911,0.0185,15638.0,0.3221,0.1077,0.2585,0.2451,0.189,0.1986,73.0,3144.079,78164.0,41937.0,6319.0,0.1507,3210.0,0.0765,14332.0,0.3418,1864.0,158.0,0.0038,0.0445,1345.0,0.0321,361.0,0.0086,522.0,0.0125,2432.0,0.058,1689.0,0.0451,4229.0,0.113,8905.0,0.2379,13357.0,6683.0,0.1785,6674.0,0.1783,0.3569,522.0,0.014,9492.0,0.2536,740.0,0.0198,2901.0,0.0775,1030.0,0.0275,7921.0,0.2116,0.0972,0.0233,0.0426,0.0327,0.0722,0.041,0.159,0.0173,0.0,0.04,0.0,0.0,0.1066,0.3161,0.0744,0.082,0.0392,0.1505,0.0138,0.0022,0.0021,0.0033,13257.0,3395238.0,6971.0,0.1436,5128.0,0.1056,0.0,0.0,0.5613,0.0571,6739.0,0.3105,0.4038,8584.0,0.3956,0.3947,3042.0,0.1402,0.1019,2193.0,0.1011,0.0386,789.0,0.0363,0.0039,233.0,0.0108,121.0,0.0056,1626.8915,0.0146,12085.0,0.5569,9615.0,0.4431,6739.0,0.3105,13569.0,0.6253,2069.0,1011.0,0.0466,1057.0,0.0487,0.0953,689.0,291.0,0.0134,398.0,0.0184,0.0318,10812.0,2942.0,0.1356,7870.0,0.3627,0.4982,1392.0,0.0641,21700.0,-0.8996,-1.6399,7448.0,0.3432,3681.0,0.1696,3710.0,0.171,3015.3253,0.0621,17147.0,4554.0,4583.0,72164.8807,43658.08,7277.0,0.1499,3.1055,0.6536,0.0,29.0,0.0022,0.3442,21700.0,1109.482,0.0229,43529.63,-0.003115,3639.4789,231.0,1088.0,0.0,48545.0,-2.0799,-0.841,-1.5477,1776.0,0.0818,4736343.0,25857915.0,169394867.0,14832691.0,255690.0,21700.0,42382.3508,0.8731
SK 1023,56419.0,59287.0,6232.0,0.1648,4274.0,0.1131,479.0,0.0127,1102.0005,0.0292,82965.0,74546.0,11004.4039,0.2911,4918.0,0.1301,0.248,0.304,0.068,0.0116,0.367,186.0,4900.6314,62204.0,74759.0,6429.0,0.086,12341.0,0.1651,4479.0,0.0599,20728.0,247.0,0.0033,0.2773,20189.0,0.2701,292.0,0.0039,603.0,0.0081,1014.0,0.0136,1090.0,0.0577,1060.0,0.0561,3817.0,0.2021,7956.0,4257.0,0.2254,3700.0,0.1959,0.4213,826.0,0.0437,4315.0,0.2285,1038.0,0.055,2685.0,0.1421,629.0,0.0333,3427.0,0.1815,0.0653,0.0181,0.0123,0.0251,0.1653,0.0244,0.2603,0.0172,0.0017,0.0968,0.0,0.0001,0.0534,0.3901,0.0731,0.0762,0.0355,0.061,0.0091,0.001,0.0003,0.0021,29165.0,2166787.0,4452.0,0.1178,13702.0,0.3625,0.851,0.0,0.021,0.1103,5726.0,0.4064,0.4488,4597.0,0.3262,0.2934,1896.0,0.1345,0.0929,1146.0,0.0813,0.0445,432.0,0.0307,0.0101,186.0,0.0132,108.0,0.0077,923.6554,0.0114,5951.0,0.4223,8140.0,0.5777,5726.0,0.4064,6183.0,0.4388,1857.0,813.0,0.0577,1044.0,0.0741,0.1318,722.0,299.0,0.0212,423.0,0.03,0.0512,3605.0,1035.0,0.0735,2570.0,0.1824,0.2558,2181.0,0.1548,14090.0,3.8815,3.8613,3588.0,0.2546,1497.0,0.1062,4337.0,0.3078,1391.7685,0.0368,5859.0,8231.0,3861.0,51497.5096,45040.79,7660.0,0.2026,3.0145,0.5476,0.0,65.0,0.0022,0.4501,14090.0,545.9627,0.0144,29731.58,0.005158,2478.0527,455.0,782.0,267.0,37803.0,6.6172,2.7535,2.6059,4762.0,0.338,2786197.0,15368993.0,92874146.0,8910051.0,207089.0,14090.0,23758.7323,0.6285
SK 1109,52875.0,112135.0,7632.0,0.1822,10033.0,0.2395,667.0,0.0159,2443.0,0.0583,136552.0,141026.0,3896.9999,0.093,12687.0,0.3029,0.0723,0.216,0.2262,0.1487,0.3363,79.0,2031.9508,107159.0,38355.0,6487.0,0.1691,2790.0,0.0727,8538.0,0.2226,2478.0,200.0,0.0052,0.0646,1933.0,0.0504,345.0,0.009,280.0,0.0073,2182.0,0.0569,442.0,0.0147,1905.0,0.0633,10480.0,0.3484,18559.0,9618.0,0.3198,8941.0,0.2973,0.617,858.0,0.0285,3298.0,0.1096,166.0,0.0055,5220.0,0.1735,2001.0,0.0665,5708.0,0.1898,0.0416,0.0205,0.0106,0.0242,0.0838,0.051,0.3511,0.0088,0.0,0.0416,0.0,0.0,0.0541,0.4067,0.066,0.112,0.055,0.0674,0.0035,0.0022,0.0,0.0062,15600.0,4917585.0,6642.0,0.1586,6041.0,0.1442,0.0,0.0,0.0,0.0131,3485.0,0.2133,0.2375,6207.0,0.3799,0.5141,2712.0,0.166,0.1714,2549.0,0.156,0.0461,998.0,0.0611,0.0177,283.0,0.0173,106.0,0.0065,865.6519,0.0323,11810.0,0.7228,4530.0,0.2772,3485.0,0.2133,12405.0,0.7592,1006.0,309.0,0.0189,697.0,0.0427,0.0616,533.0,340.0,0.0208,193.0,0.0118,0.0326,10866.0,4590.0,0.2809,6276.0,0.3841,0.665,450.0,0.0275,16340.0,0.4853,0.8752,9133.0,0.5589,5264.0,0.3222,1461.0,0.0894,801.0,0.0191,13426.0,2914.0,733.0,111801.471,47579.88,6993.0,0.1669,2.7891,0.52,0.0,43.0,0.0028,0.4772,16340.0,762.0,0.0182,55223.04,0.001642,2219.2261,228.0,88.0,355.0,41890.0,5.2815,0.4712,0.8236,503.0,0.0308,3898489.0,22734387.0,143528945.0,12620606.0,284813.0,16340.0,33986.9995,0.8113
