banks_10mi,banks_1mi,banks_2mi,banks_3mi,banks_5mi,centerxy_full_0p5_intersect_count,centerxy_full_0p5_intersect_gla,centerxy_full_count_10mi,centerxy_full_count_1mi,centerxy_full_count_2mi,centerxy_full_count_3mi,centerxy_full_count_5mi,centerxy_full_gla_10mi,centerxy_full_gla_1mi,centerxy_full_gla_2mi,centerxy_full_gla_3mi,centerxy_full_gla_5mi,centerxy_full_nearest_dist,centerxy_gla_effective_10mi,centerxy_gla_effective_1mi,centerxy_gla_effective_2mi,centerxy_gla_effective_3mi,centerxy_gla_effective_5mi,country_code,dmm_count_10mi,dmm_count_1mi,dmm_count_2mi,dmm_count_3mi,dmm_count_5mi,dmm_gla_10mi,dmm_gla_1mi,dmm_gla_2mi,dmm_gla_3mi,dmm_gla_5mi,dmm_nearest_dist,hrsa_hospitals_10mi,hrsa_hospitals_1mi,hrsa_hospitals_2mi,hrsa_hospitals_3mi,hrsa_hospitals_5mi,hrsa_hospitals_nearest_dist,hrsa_number_of_certified_beds_10mi,hrsa_number_of_certified_beds_1mi,hrsa_number_of_certified_beds_2mi,hrsa_number_of_certified_beds_3mi,hrsa_number_of_certified_beds_5mi,inrix_aadt_ew,inrix_aadt_ns,inrix_afternoon_ew,inrix_afternoon_ns,inrix_breakfast_ew,inrix_breakfast_ns,inrix_dinner_ew,inrix_dinner_ns,inrix_ew_distance,inrix_lunch_ew,inrix_lunch_ns,inrix_night_ew,inrix_night_ns,inrix_ns_distance,inrix_overnight_ew,inrix_overnight_ns,ipeds_postsecondary_nearest_dist,ipeds_postsecondary_schools_10mi,ipeds_postsecondary_schools_1mi,ipeds_postsecondary_schools_2mi,ipeds_postsecondary_schools_3mi,ipeds_postsecondary_schools_5mi,ipeds_postsecondary_schools_total_enrollment_10mi,ipeds_postsecondary_schools_total_enrollment_1mi,ipeds_postsecondary_schools_total_enrollment_2mi,ipeds_postsecondary_schools_total_enrollment_3mi,ipeds_postsecondary_schools_total_enrollment_5mi,military_installations_10mi,military_installations_1mi,military_installations_2mi,military_installations_3mi,military_installations_5mi,nces_private_schools_10mi,nces_private_schools_1mi,nces_private_schools_2mi,nces_private_schools_3mi,nces_private_schools_5mi,nces_private_schools_nearest_dist,nces_private_schools_total_enrollment_10mi,nces_private_schools_total_enrollment_1mi,nces_private_schools_total_enrollment_2mi,nces_private_schools_total_enrollment_3mi,nces_private_schools_total_enrollment_5mi,nces_public_schools_10mi,nces_public_schools_1mi,nces_public_schools_2mi,nces_public_schools_3mi,nces_public_schools_5mi,nces_public_schools_nearest_dist,nces_public_schools_total_enrollment_10mi,nces_public_schools_total_enrollment_1mi,nces_public_schools_total_enrollment_2mi,nces_public_schools_total_enrollment_3mi,nces_public_schools_total_enrollment_5mi,osm_highway_exits_count_10mi,osm_highway_exits_count_1mi,osm_highway_exits_count_2mi,osm_highway_exits_count_3mi,osm_highway_exits_count_5mi,osm_nearest_exit_dist,places_of_worship_10mi,places_of_worship_1mi,places_of_worship_2mi,places_of_worship_3mi,places_of_worship_5mi,store,transitstop_nearest_dist,transitstops
120,3,10,26,41,0,0.0,65,1,2,13,22,16455206.0,198023.0,307544.0,2110684.0,5911605.0,0.5022571494574961,18816181.62040089,455258.02946446,664252.40234337,3352992.8319713203,8060988.3492220305,US,31,1,1,4,9,14953792.0,198023.0,198023.0,1778157.0,4566520.0,0.5125616654688245,17,1,2,3,8,0.21891063503892,1451.0,1.0,2.0,42.0,543.0,20933,2540,4281.0,389.0,5185.0,294.0,3967.0,357.0,0.0345096145131724,4099.0,347.0,2475.0,194.0,0.0849161339257433,925.0,44.0,2.0666422343965145,9,0,0,1,3,2956.0,0.0,0.0,334.0,1031.0,0,0,0,0,0,25,0,1,4,5,1.0103521672408335,4464.0,0.0,24.0,558.0,765.0,174,1,9,31,51,0.8359192998771541,110757.0,357.0,9132.0,21402.0,36786.0,123,0,2,17,45,1.8755413691008669,314,5,30,76,128,SK 1504,14.818824473802882,0
93,6,15,30,52,2,253302.0,54,2,9,20,37,8582600.0,253302.0,1151491.0,4067734.0,6754293.0,0.0902990742201539,7381541.275923528,253302.0,1297196.693957145,3113756.4574443246,6407709.839804089,US,8,0,1,4,7,4035774.0,0.0,192802.0,2657994.0,3793018.0,1.2674443643573694,8,0,1,3,5,1.6902167754993986,1922.0,0.0,349.0,613.0,1079.0,1404,13891,221.0,3419.0,181.0,2770.0,178.0,2919.0,0.0773066064935972,191.0,2784.0,82.0,1630.0,0.0278677879078115,29.0,369.0,1.6868366535203747,8,0,2,4,6,24586.0,0.0,16724.0,18733.0,18929.0,1,0,0,0,1,30,0,1,10,15,1.7987155335432572,10530.0,0.0,481.0,4511.0,7747.0,78,1,6,13,27,0.682489882844715,45635.0,998.0,3403.0,6852.0,15818.0,58,0,0,3,14,2.617071646970568,305,12,82,109,154,SK 0057,49.572856439634585,0
141,8,15,25,40,3,395307.0,73,4,9,14,23,14822428.0,767612.0,1504997.0,2273210.0,4433662.0,0.0991710694119696,12148432.09114175,1035500.73888435,1917870.77155597,2753603.3338332823,4153869.0355602633,US,22,2,3,5,8,10290603.0,480313.0,788450.0,1346911.0,3139452.0,0.1198267446245102,11,0,0,3,3,2.425998611170728,1993.0,0.0,0.0,506.0,506.0,5372,460,704.0,52.0,454.0,53.0,632.0,43.0,0.1309227174449524,521.0,43.0,351.0,23.0,0.1248900127670877,56.0,21.0,0.3589954645449608,8,1,2,2,2,58310.0,225.0,10568.0,10568.0,10568.0,0,0,0,0,0,27,1,2,4,7,0.5615505859304728,8151.0,308.0,516.0,1028.0,2194.0,96,2,9,18,29,0.6765853807960961,55532.0,678.0,2820.0,9180.0,15507.0,162,2,8,25,45,0.1949367571797073,277,6,23,57,78,SK 1415,3.5183078865700126,0
237,13,38,48,71,2,415300.0,124,2,3,8,24,24562434.0,415300.0,588410.0,2019110.0,5499793.0,0.3387102237340057,20119605.60466617,414180.97674228,622233.8955298599,2045420.04196729,4626572.620504744,US,36,1,1,2,5,15277908.0,209908.0,209908.0,1188476.0,3562389.0,0.3490926672135319,15,2,3,3,3,0.4756819822802429,3746.0,723.0,787.0,787.0,787.0,21638,1007,4434.0,155.0,4323.0,160.0,4164.0,128.0,0.0242653551990932,4088.0,130.0,3469.0,66.0,0.0296548371422654,1160.0,27.0,1.364695181399895,22,0,2,3,4,117779.0,0.0,49875.0,49908.0,50333.0,0,0,0,0,0,96,1,4,9,23,0.7472072390253239,22384.0,360.0,1154.0,3616.0,5131.0,184,3,7,17,52,0.1293217905709388,121834.0,1432.0,2930.0,7588.0,29823.0,114,0,6,31,61,1.3930428206669263,1202,10,50,116,393,SK 1231,0.0217902263330431,25
394,5,13,37,105,1,97937.0,221,5,13,21,64,42173664.0,582021.0,1653150.0,4478125.0,12091985.0,0.1561246991431644,39230677.980482526,308913.0,1200362.7150446,3189100.99647436,10580779.31417307,US,69,1,2,5,22,28358845.0,182824.0,453417.0,2085537.0,6639304.0,0.621040088648809,40,0,2,7,17,1.4800739086424706,4507.0,0.0,33.0,334.0,972.0,8632,1126,1944.0,239.0,1713.0,292.0,1938.0,228.0,0.0371057046872631,1577.0,205.0,1162.0,120.0,0.0628043450740026,298.0,41.0,1.766812279480943,19,0,1,3,6,40760.0,0.0,535.0,804.0,1561.0,0,0,0,0,0,103,0,3,6,30,1.841182130523452,30641.0,0.0,2205.0,3670.0,11543.0,280,5,10,28,69,0.4594575227860577,179702.0,2524.0,4945.0,19741.0,47129.0,366,3,14,23,72,0.7119494503340975,903,12,58,117,273,SK 1535,0.0552894888810697,17
66,7,8,18,25,1,386517.0,37,5,7,10,17,5545914.0,955725.0,1135134.0,1885821.0,2751165.0,0.4140659123121014,6740655.808045094,2088344.52405715,2202125.52405715,3498896.88942914,4289191.498391829,US,10,2,3,5,6,3745325.0,727065.0,1234985.0,1886468.0,2124970.0,0.4281928872405445,2,1,1,1,2,0.0475948982157452,5.0,1.0,1.0,1.0,5.0,22499,1750,2397.0,337.0,2482.0,599.0,2279.0,286.0,0.0405093183043942,2139.0,281.0,1409.0,139.0,0.1026484620955903,423.0,109.0,4.9579168445537,2,0,0,0,1,205.0,0.0,0.0,0.0,140.0,0,0,0,0,0,12,0,1,2,2,1.1140755596379848,1194.0,0.0,49.0,66.0,66.0,187,5,15,36,55,0.1226046339740221,127435.0,7958.0,15591.0,22583.0,35169.0,171,3,6,24,45,0.6099282335859205,487,21,43,69,96,SK 1518,1.3854699838158586,0
216,9,21,28,75,0,0.0,132,3,5,14,32,29633352.0,345669.0,657316.0,3102106.0,7931698.0,0.579886243221005,34783490.4431076,708921.43675692,1019511.85363457,5610734.11109786,10956400.01133746,US,50,1,3,6,19,21490944.0,248196.0,988843.0,2045409.0,8534558.0,0.1739813069583246,30,0,1,2,8,1.8848134738038231,2327.0,0.0,70.0,133.0,394.0,1092,21827,219.0,4673.0,179.0,5701.0,192.0,4306.0,0.0736704640133466,203.0,4531.0,94.0,2043.0,0.0373536418685566,27.0,574.0,0.6080418537965109,3,1,1,1,1,50294.0,34.0,34.0,34.0,34.0,0,0,0,0,0,44,0,2,9,16,1.014076964016541,11534.0,0.0,363.0,4877.0,5602.0,229,3,13,29,77,0.676514751890639,182123.0,1472.0,9261.0,25167.0,69746.0,134,0,3,9,46,1.6876176377594283,514,24,40,64,140,SK 1118,4.613570872017554,0
151,8,10,15,39,1,377000.0,67,2,5,12,24,10818832.0,533579.0,872396.0,1565846.0,4381100.0,0.1952483012574746,8655541.50382538,573814.2786784701,781131.2786784701,1305261.05355936,3315161.0903923903,US,12,1,1,1,4,5342196.0,424192.0,424192.0,424192.0,2340676.0,0.1812997101603268,11,0,0,1,3,2.443123954738499,3222.0,0.0,0.0,660.0,876.0,22144,7647,4726.0,1867.0,5819.0,1693.0,4051.0,1584.0,0.0234392555831052,4370.0,1447.0,2373.0,851.0,0.0229652768982037,805.0,205.0,5.836019062217568,10,0,0,0,0,36570.0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,2,4,5,12,0.079936919375226,10143.0,304.0,429.0,445.0,2523.0,96,1,9,12,35,0.246426645751416,58654.0,453.0,8127.0,10585.0,24299.0,62,0,0,0,2,4.327412874976414,448,8,22,43,118,SK 1462,0.1187928914758146,18
45,14,26,34,42,1,57528.0,22,2,7,11,18,3281707.0,163291.0,971985.0,2177137.0,3004932.0,0.1153986530536756,3679470.266132765,105763.0,1333074.16696319,2933014.28801432,3679470.266132765,US,6,0,2,4,6,2312024.0,0.0,594646.0,1562024.0,2312024.0,1.8563831193607292,5,0,4,4,5,1.0545379007646385,1939.0,0.0,1011.0,1011.0,1939.0,13878,1719,1473.0,366.0,852.0,225.0,1538.0,373.0,0.009895926399733,1348.0,336.0,1350.0,324.0,0.0072308637224386,378.0,97.0,0.5420985057949103,5,1,4,4,4,48652.0,41992.0,42883.0,42883.0,42883.0,0,0,0,0,0,7,0,1,5,6,1.7258917581021025,2843.0,0.0,292.0,2050.0,2514.0,43,1,9,16,27,0.9561485669204004,22773.0,764.0,3871.0,7146.0,12236.0,23,0,6,12,17,1.0949950127751995,113,35,54,68,92,SK 1023,1.266726894388831,0
157,11,17,37,75,5,586204.0,97,7,8,18,39,18927468.0,756123.0,918351.0,2203576.0,7203449.0,0.0379273143564682,16412427.990688993,904036.6609436,1058356.98607099,2014142.2655653665,5628375.887720075,US,30,1,1,2,11,11587520.0,173000.0,173000.0,523000.0,4128081.0,0.4918954957535171,11,0,2,2,7,1.5179631268571452,2403.0,0.0,50.0,50.0,1586.0,30445,3676,3435.0,950.0,4123.0,778.0,2742.0,710.0,0.0690084090730484,3266.0,853.0,1236.0,313.0,0.0366395855896948,294.0,72.0,3.344562576799643,10,0,0,0,1,35085.0,0.0,0.0,0.0,225.0,0,0,0,0,0,51,1,3,7,19,0.6874074578446007,12198.0,17.0,140.0,631.0,5715.0,146,1,5,8,37,0.6547414418330596,93730.0,1842.0,5024.0,6760.0,23818.0,107,0,0,6,28,2.720057994094819,432,18,26,42,136,SK 1109,14.807480636505264,0
