age0018_p_ta,age65pl_p_ta,age85pl_p_ta,asian_p_ta,avg_faminc_ta,avghhinc_ta,black_p_ta,boomer_p_ta,com0002_p_ta,com0205_p_ta,com0508_p_ta,com0811_p_ta,com12pl_p_ta,crime_total_index_ta,daypop_dens_ta,disposable_inc_avg_ta,dtpop_children_at_home_p_ta,dtpop_homemakers_p_ta,dtpop_retired_disabled_p_ta,dtpop_students_9th_12th_p_ta,dtpop_students_p_ta,dtpop_students_post_secondary_p_ta,dtpop_students_prek_8th_p_ta,dtpop_ta,dtpop_unemployed_p_ta,dtpop_work_at_home_p_ta,edu_9to12_p_ta,edu_assocdeg_p_ta,edu_bach_p_ta,edu_bachplus_female_p_ta,edu_bachplus_male_p_ta,edu_bachplus_p_ta,edu_doctorate_p_ta,edu_highsch_p_ta,edu_lt9_p_ta,edu_master_p_ta,edu_profdeg_p_ta,edu_somecollege_p_ta,emp_accommodation_foodserv_p_ta,emp_admin_support_p_ta,emp_arts_entertainment_p_ta,emp_construction_p_ta,emp_educ_services_p_ta,emp_finance_insurance_p_ta,emp_healthcare_social_assistance_p_ta,emp_information_p_ta,emp_management_p_ta,emp_manfacturing_p_ta,emp_military_ta,emp_mining_p_ta,emp_other_p_ta,emp_p_ta,emp_professional_scientific_p_ta,emp_publicadmin_p_ta,emp_realestate_rentlease_p_ta,emp_retail_trade_p_ta,emp_transportation_storage_p_ta,emp_unknown_ta,emp_utilities_p_ta,emp_wholesale_trade_p_ta,empcy_ta,gdp_ta,genx_p_ta,genz_p_ta,gq_college_p_ta,gq_military_p_ta,gq_other_p_ta,hh_0vehicle_p_ta,hh_1pers_p_ta,hh_1vehicle_p_ta,hh_2pers_p_ta,hh_2vehicle_p_ta,hh_3pers_p_ta,hh_3vehicle_p_ta,hh_4pers_p_ta,hh_4vehicle_p_ta,hh_5pers_p_ta,hh_5vehicle_p_ta,hh_6pers_p_ta,hh_7pers_p_ta,hh_dens_ta,hh_inc_gt_500k_p_ta,hh_inc_gt_75k_p_ta,hh_inc_lt_75k_p_ta,hh_type_1pers_p_ta,hh_type_fam_p_ta,hh_type_female_child_p_ta,hh_type_female_nochild_p_ta,hh_type_female_p_ta,hh_type_male_child_p_ta,hh_type_male_nochild_p_ta,hh_type_male_p_ta,hh_type_married_child_p_ta,hh_type_married_nochild_p_ta,hh_type_married_p_ta,hh_type_nonfam_p_ta,hhcy_ta,hhgrfypy_ta,hhgrpycy_ta,hhinc100pl_p_ta,hhinc150pl_p_ta,hhinc30lt_p_ta,hispanic_p_ta,hu_ownerocc_ta,hu_renterocc_ta,hu_vacant_ta,medhhinc_1mi,medhhinc_dma,medhhinc_ta,medsalcy_ta,millenial_p_ta,mortgage_avgrisk_ta,occ_bc_p_ta,occ_military_p_ta,occ_unclassified_p_ta,occ_wc_p_ta,occhu_ta,other_p_ta,percapita_inc_ta,pop5y_cagr_ta,pop_dens_ta,pop_migration_ta,pop_seasonal_ta,pop_transient_ta,popcy_ta,popgr10cn_ta,popgrfy_ta,popgrpy_ta,poverty_inpoverty_p_ta,spend_breakfastbrunch_ta,spend_dinner_ta,spend_foodbev_ta,spend_lunch_ta,store_num,wealth_hhavg_ta,wealth_hhtotal_ta,white_p_ta
0.2907,0.0909,0.005,0.0555,108837.0,106093.0,0.0985,0.1735,0.0629,0.1726,0.1148,0.1464,0.5024,76.0,3323.8471,87217.0,0.2716,0.1008,0.0854,0.007,0.0772,0.0543,0.0158,63691.0,0.0181,0.0638,0.041,0.0872,0.2445,0.1789,0.1773,0.3562,0.0087,0.226,0.0489,0.0945,0.0084,0.2407,0.0865,0.0372,0.0202,0.0563,0.0804,0.0493,0.2599,0.008,0.0005,0.0564,0.0,0.0021,0.0495,0.3832,0.054,0.0098,0.0261,0.1742,0.0104,0.0047,0.0043,0.0075,24404.0,4986303.0,0.2272,0.1735,0.0,0.0,0.1463,0.0207,0.1946,0.2764,0.2781,0.4682,0.2004,0.1609,0.1817,0.0607,0.0878,0.013,0.0334,0.0238,1316.3365,0.0142,0.6641,0.3359,0.1946,0.7494,0.0793,0.0486,0.1279,0.0217,0.0213,0.043,0.3081,0.2704,0.5785,0.0559,25223.0,8.1809,3.504,0.4339,0.1932,0.0983,0.3173,16086.0,9138.0,1412.0,83846.0,85075.0,90049.1498,45625.22,0.1732,2.9807,0.6397,0.0,0.0052,0.3551,25223.0,0.0391,36370.83,0.007727,3851.7334,397.0,148.0,701.0,73806.0,83.5446,8.3789,3.9235,0.0611,7069439.0,40790484.0,230383651.0,23166216.0,SK 1504,240573.0,25223.0,0.4897
0.2416,0.1537,0.0134,0.0327,80752.0,70536.0,0.389,0.2015,0.1409,0.3199,0.2178,0.0927,0.228,217.0,3103.7434,56333.0,0.1435,0.119,0.1061,0.0035,0.1515,0.1397,0.0082,72136.0,0.0104,0.0173,0.0647,0.0897,0.2256,0.1972,0.1538,0.351,0.0089,0.241,0.0175,0.0854,0.0311,0.2361,0.0594,0.0499,0.018,0.0435,0.1728,0.0509,0.2541,0.0191,0.0057,0.0203,0.0,0.0005,0.0554,0.4523,0.0709,0.0213,0.0268,0.0958,0.025,0.0014,0.0,0.009,32625.0,3072896.0,0.1804,0.1518,0.9061,0.0,0.0527,0.0757,0.3305,0.4152,0.319,0.3515,0.1628,0.1142,0.1115,0.0309,0.0489,0.0125,0.0168,0.0104,955.8718,0.0083,0.3853,0.6147,0.3305,0.5818,0.095,0.0754,0.1704,0.012,0.024,0.036,0.1218,0.2536,0.3755,0.0876,22216.0,0.6098,0.3916,0.1897,0.0836,0.3174,0.0371,11844.0,10372.0,2150.0,50388.0,58200.0,47934.1324,43653.53,0.213,2.8755,0.581,0.0,0.0017,0.4173,22216.0,0.0284,29873.73,0.000785,2265.1614,487.0,277.0,838.0,52646.0,9.6569,0.6017,0.3932,0.183,4724526.0,25460067.0,160135521.0,14653701.0,SK 0057,217054.0,22216.0,0.5129
0.2198,0.1926,0.0147,0.0235,106893.0,97112.0,0.0552,0.2576,0.0708,0.1778,0.16,0.1815,0.4092,79.0,3134.6287,75294.0,0.2038,0.0776,0.1884,0.0045,0.0569,0.0404,0.012,39757.0,0.0141,0.0388,0.0426,0.0746,0.2407,0.1933,0.1926,0.3859,0.008,0.2513,0.0174,0.1185,0.0187,0.2282,0.0829,0.0293,0.0344,0.0526,0.0584,0.0487,0.2333,0.0345,0.0013,0.0325,0.0,0.0,0.0569,0.4203,0.0724,0.0193,0.0301,0.1443,0.0567,0.0026,0.0023,0.0068,16711.0,3088755.0,0.1863,0.1171,0.0,0.0,0.3243,0.0384,0.3175,0.3963,0.3473,0.3782,0.1562,0.1294,0.1135,0.0475,0.0436,0.0102,0.0153,0.0066,1569.5614,0.0166,0.5437,0.4563,0.3175,0.6026,0.0431,0.0495,0.0926,0.0177,0.0101,0.0278,0.1528,0.3294,0.4822,0.0799,19907.0,2.5237,0.7183,0.3181,0.1617,0.1717,0.0466,14034.0,5873.0,991.0,59999.0,66049.0,70900.9968,45726.76,0.1902,2.7683,0.6471,0.0,0.0026,0.3504,19907.0,0.0288,42249.59,0.001424,3631.9812,144.0,170.0,489.0,46065.0,4.5643,2.5003,0.7142,0.0639,4501211.0,24794631.0,151609187.0,14129014.0,SK 1415,245860.0,19907.0,0.8459
0.206,0.2108,0.0185,0.0203,134373.0,149467.0,0.0998,0.2628,0.0869,0.0501,0.1261,0.0988,0.6311,252.0,12673.0167,103298.0,0.0786,0.0332,0.0925,0.0012,0.2661,0.2598,0.005,85701.0,0.0039,0.0282,0.0397,0.0832,0.3284,0.2219,0.3166,0.5386,0.0155,0.1526,0.0191,0.1216,0.0731,0.1667,0.0755,0.0453,0.0194,0.0324,0.0726,0.0574,0.1508,0.0385,0.0113,0.027,0.0,0.0008,0.0416,0.4976,0.1417,0.1225,0.0421,0.0933,0.0177,0.0014,0.0036,0.0041,42646.0,6070430.0,0.2318,0.0696,0.0,0.0,0.1567,0.0671,0.4653,0.499,0.3663,0.369,0.0957,0.0542,0.0475,0.01,0.0172,0.0006,0.0049,0.0031,3271.6511,0.0336,0.6804,0.3196,0.4653,0.398,0.0254,0.0289,0.0543,0.0056,0.0119,0.0175,0.0854,0.2408,0.3262,0.1366,22124.0,8.3586,14.2062,0.507,0.3271,0.1212,0.1571,11904.0,10220.0,6050.0,97439.0,62779.0,101718.009,51943.36,0.1701,3.0483,0.6007,0.0,0.0021,0.3972,22124.0,0.0208,80832.57,0.024234,6188.8611,2750.0,1158.0,4978.0,41852.0,7.4904,7.6482,12.7188,0.0831,4038906.0,23214366.0,146417939.0,12859709.0,SK 1231,255812.0,22124.0,0.702
0.2866,0.1283,0.0057,0.0719,102367.0,96066.0,0.1935,0.2054,0.0242,0.0604,0.0788,0.042,0.7924,101.0,5665.6061,73836.0,0.2762,0.056,0.1329,0.0047,0.0589,0.0369,0.0173,50087.0,0.0224,0.0647,0.036,0.067,0.2927,0.2272,0.2083,0.4355,0.0175,0.1879,0.0354,0.1017,0.0236,0.2382,0.0678,0.0507,0.0149,0.0728,0.0501,0.0628,0.1594,0.0429,0.0071,0.1141,0.0,0.0001,0.0683,0.3888,0.0742,0.0116,0.0363,0.1222,0.0233,0.0056,0.002,0.0133,19476.0,5724387.0,0.2184,0.1096,0.0,0.0,0.0,0.0365,0.4179,0.506,0.2993,0.3421,0.1365,0.0863,0.0908,0.0226,0.036,0.0066,0.0124,0.0071,3308.7358,0.0132,0.514,0.486,0.4179,0.5129,0.0713,0.0413,0.1126,0.0202,0.0243,0.0445,0.1473,0.2085,0.3558,0.0692,29251.0,1.9608,-6.1981,0.2863,0.1487,0.1507,0.2378,10817.0,18434.0,2222.0,56156.0,76139.0,65966.8604,48080.7,0.1849,3.0039,0.6692,0.0,0.0057,0.3251,29251.0,0.0377,45741.3,-0.011836,6965.7534,-319.0,88.0,336.0,61581.0,7.7442,2.1871,-5.7794,0.08,5919218.0,32751951.0,207616741.0,18696840.0,SK 1535,216763.0,29251.0,0.4593
0.2835,0.1074,0.0058,0.0223,73468.0,72528.0,0.2015,0.175,0.0002,0.0006,0.005,0.0195,0.9733,94.0,2211.5767,62016.0,0.2811,0.1702,0.1084,0.007,0.0798,0.0567,0.0161,94532.0,0.0333,0.0144,0.1114,0.0879,0.0861,0.0745,0.0483,0.1228,0.0041,0.2962,0.1688,0.0286,0.004,0.2129,0.0608,0.0283,0.0202,0.0524,0.1366,0.0385,0.139,0.0235,0.0025,0.0724,0.0,0.003,0.0594,0.3128,0.0388,0.041,0.0281,0.1705,0.0665,0.0024,0.0061,0.0088,29567.0,6166828.0,0.1868,0.1719,0.0,0.0,0.5607,0.044,0.176,0.2987,0.2317,0.3696,0.1785,0.1975,0.1758,0.0657,0.1247,0.0245,0.062,0.0513,827.6245,0.0043,0.4603,0.5397,0.176,0.7835,0.1068,0.0738,0.1805,0.0483,0.0423,0.0907,0.2914,0.2209,0.5123,0.0406,35376.0,4.7752,3.1801,0.2284,0.0832,0.2048,0.6301,21938.0,13438.0,3151.0,63095.0,72903.0,58543.0809,47481.16,0.2121,2.8835,0.6651,0.0,0.003,0.3318,35376.0,0.0125,22128.43,0.006205,2717.7132,576.0,149.0,194.0,116166.0,21.2,4.739,3.1412,0.1467,10606865.0,57476025.0,361502275.0,33283282.0,SK 1518,205864.0,35376.0,0.1337
0.279,0.0903,0.0051,0.1457,129611.0,133864.0,0.0982,0.1833,0.0077,0.0041,0.0023,0.0013,0.9807,43.0,4161.0844,102826.0,0.262,0.1414,0.0858,0.0069,0.0744,0.0521,0.0153,58515.0,0.0201,0.0713,0.0302,0.0768,0.3386,0.2875,0.2578,0.5453,0.0132,0.1043,0.0517,0.1718,0.0216,0.1918,0.0693,0.0117,0.0244,0.0556,0.1243,0.1432,0.2103,0.0319,0.0,0.0292,0.0,0.0009,0.065,0.345,0.0415,0.008,0.0258,0.1335,0.0145,0.0045,0.0,0.0048,20189.0,5973500.0,0.2394,0.1709,0.0,0.0,0.0,0.0286,0.2073,0.3096,0.2767,0.4599,0.1913,0.1422,0.2026,0.0462,0.0792,0.0135,0.0269,0.016,1719.534,0.0291,0.7168,0.2832,0.2073,0.7558,0.0828,0.0427,0.1255,0.0211,0.0151,0.0361,0.3674,0.2267,0.5941,0.0369,24181.0,14.8867,17.6115,0.5437,0.3181,0.1105,0.1961,16667.0,7514.0,1252.0,92372.0,76139.0,109042.4908,48149.95,0.16,2.9629,0.6195,0.0,0.0045,0.3761,24181.0,0.0275,47601.19,0.032505,4839.7631,2036.0,96.0,0.0,68059.0,90.532,14.757,17.344,0.0582,6682226.0,39623084.0,240416986.0,21937264.0,SK 1118,261606.0,24181.0,0.5325
0.1552,0.3167,0.0444,0.0235,100009.0,96614.0,0.0185,0.3221,0.1077,0.2585,0.2451,0.189,0.1986,73.0,3144.079,78164.0,0.1507,0.0765,0.3418,0.0038,0.0445,0.0321,0.0086,41937.0,0.0125,0.058,0.0451,0.113,0.2379,0.1785,0.1783,0.3569,0.014,0.2536,0.0198,0.0775,0.0275,0.2116,0.0972,0.0233,0.0426,0.0327,0.0722,0.041,0.159,0.0173,0.0,0.04,0.0,0.0,0.1066,0.3161,0.0744,0.082,0.0392,0.1505,0.0138,0.0022,0.0021,0.0033,13257.0,3395238.0,0.1436,0.1056,0.0,0.0,0.5613,0.0571,0.3105,0.4038,0.3956,0.3947,0.1402,0.1019,0.1011,0.0386,0.0363,0.0039,0.0108,0.0056,1626.8915,0.0146,0.5569,0.4431,0.3105,0.6253,0.0466,0.0487,0.0953,0.0134,0.0184,0.0318,0.1356,0.3627,0.4982,0.0641,21700.0,-0.8996,-1.6399,0.3432,0.1696,0.171,0.0621,17147.0,4554.0,4583.0,55124.0,60197.0,72164.8807,43658.08,0.1499,3.1055,0.6536,0.0,0.0022,0.3442,21700.0,0.0229,43529.63,-0.003115,3639.4789,231.0,1088.0,0.0,48545.0,-2.0799,-0.841,-1.5477,0.0818,4736343.0,25857915.0,169394867.0,14832691.0,SK 1462,255690.0,21700.0,0.8731
0.1648,0.1131,0.0127,0.0292,82965.0,74546.0,0.2911,0.1301,0.248,0.304,0.068,0.0116,0.367,186.0,4900.6314,62204.0,0.086,0.1651,0.0599,0.0033,0.2773,0.2701,0.0039,74759.0,0.0081,0.0136,0.0577,0.0561,0.2021,0.2254,0.1959,0.4213,0.0437,0.2285,0.055,0.1421,0.0333,0.1815,0.0653,0.0181,0.0123,0.0251,0.1653,0.0244,0.2603,0.0172,0.0017,0.0968,0.0,0.0001,0.0534,0.3901,0.0731,0.0762,0.0355,0.061,0.0091,0.001,0.0003,0.0021,29165.0,2166787.0,0.1178,0.3625,0.851,0.0,0.021,0.1103,0.4064,0.4488,0.3262,0.2934,0.1345,0.0929,0.0813,0.0445,0.0307,0.0101,0.0132,0.0077,923.6554,0.0114,0.4223,0.5777,0.4064,0.4388,0.0577,0.0741,0.1318,0.0212,0.03,0.0512,0.0735,0.1824,0.2558,0.1548,14090.0,3.8815,3.8613,0.2546,0.1062,0.3078,0.0368,5859.0,8231.0,3861.0,59287.0,56419.0,51497.5096,45040.79,0.2026,3.0145,0.5476,0.0,0.0022,0.4501,14090.0,0.0144,29731.58,0.005158,2478.0527,455.0,782.0,267.0,37803.0,6.6172,2.7535,2.6059,0.338,2786197.0,15368993.0,92874146.0,8910051.0,SK 1023,207089.0,14090.0,0.6285
0.1822,0.2395,0.0159,0.0583,136552.0,141026.0,0.093,0.3029,0.0723,0.216,0.2262,0.1487,0.3363,79.0,2031.9508,107159.0,0.1691,0.0727,0.2226,0.0052,0.0646,0.0504,0.009,38355.0,0.0073,0.0569,0.0147,0.0633,0.3484,0.3198,0.2973,0.617,0.0285,0.1096,0.0055,0.1735,0.0665,0.1898,0.0416,0.0205,0.0106,0.0242,0.0838,0.051,0.3511,0.0088,0.0,0.0416,0.0,0.0,0.0541,0.4067,0.066,0.112,0.055,0.0674,0.0035,0.0022,0.0,0.0062,15600.0,4917585.0,0.1586,0.1442,0.0,0.0,0.0,0.0131,0.2133,0.2375,0.3799,0.5141,0.166,0.1714,0.156,0.0461,0.0611,0.0177,0.0173,0.0065,865.6519,0.0323,0.7228,0.2772,0.2133,0.7592,0.0189,0.0427,0.0616,0.0208,0.0118,0.0326,0.2809,0.3841,0.665,0.0275,16340.0,0.4853,0.8752,0.5589,0.3222,0.0894,0.0191,13426.0,2914.0,733.0,112135.0,52875.0,111801.471,47579.88,0.1669,2.7891,0.52,0.0,0.0028,0.4772,16340.0,0.0182,55223.04,0.001642,2219.2261,228.0,88.0,355.0,41890.0,5.2815,0.4712,0.8236,0.0308,3898489.0,22734387.0,143528945.0,12620606.0,SK 1109,284813.0,16340.0,0.8113
