age85pl_1mi,age85pl_3mi,age85pl_5mi,dtpop_1mi,dtpop_3mi,dtpop_5mi,dtpop_work_at_home_1mi,dtpop_work_at_home_3mi,dtpop_work_at_home_5mi,hh_1pers_1mi,hh_1pers_3mi,hh_1pers_5mi,store
1037.0,7354.0,16499.0,29816.0,240961.0,554186.0,2424.0,17269.0,40395.0,2505.0,22177.0,46246.0,478100
136.0,1687.0,3350.0,7952.0,70382.0,155553.0,991.0,4695.0,12675.0,613.0,7546.0,14351.0,1108200
393.0,5173.0,10749.0,34537.0,303734.0,547374.0,2228.0,14124.0,29845.0,3884.0,37251.0,65339.0,3967600
468.0,1617.0,1797.0,20618.0,55946.0,65792.0,804.0,2764.0,3375.0,3005.0,6719.0,7369.0,1609900
677.0,7614.0,19094.0,351880.0,833586.0,1211398.0,14471.0,53890.0,96626.0,32806.0,127685.0,206105.0,2591600
636.0,9161.0,21853.0,53154.0,320124.0,802926.0,1531.0,23002.0,57148.0,2142.0,34015.0,82428.0,3961100
354.0,877.0,1022.0,13767.0,56088.0,71731.0,1122.0,3515.0,5097.0,2421.0,6718.0,8159.0,741200
277.0,2054.0,4672.0,9007.0,121331.0,267067.0,1021.0,8553.0,19138.0,529.0,11542.0,27384.0,7051900
416.0,5367.0,10480.0,16507.0,276165.0,542148.0,1516.0,15045.0,31787.0,3339.0,37864.0,63346.0,1289900
595.0,2973.0,5673.0,23978.0,108205.0,245474.0,1991.0,8940.0,20385.0,2663.0,11278.0,22641.0,6181400
828.0,5595.0,14561.0,37222.0,210027.0,652744.0,4331.0,21404.0,55496.0,7064.0,32556.0,105163.0,5194600
498.0,5644.0,15865.0,26459.0,224943.0,539883.0,1328.0,14214.0,39546.0,2440.0,22603.0,61013.0,2468800
119.0,1336.0,4225.0,20501.0,93817.0,263490.0,360.0,5045.0,15490.0,745.0,11388.0,32960.0,4428700
228.0,4354.0,15450.0,18597.0,151481.0,566799.0,721.0,11681.0,44753.0,1458.0,28040.0,110727.0,2956600
482.0,1604.0,2227.0,13244.0,60079.0,87724.0,832.0,3781.0,6092.0,2372.0,7892.0,10253.0,658900
88.0,101.0,103.0,2059.0,2291.0,2354.0,73.0,91.0,96.0,203.0,244.0,251.0,2603500
436.0,1742.0,2791.0,18003.0,90129.0,168667.0,1993.0,10622.0,15974.0,1588.0,7949.0,14258.0,1315700
238.0,3486.0,7676.0,19372.0,111280.0,284006.0,887.0,8244.0,24994.0,872.0,11533.0,31621.0,1185500
323.0,2507.0,4279.0,25603.0,129956.0,213998.0,2278.0,10493.0,17212.0,1882.0,12272.0,17094.0,2907900
0.0,1373.0,10594.0,0.0,120734.0,667953.0,0.0,4229.0,34816.0,0.0,3088.0,32289.0,1361600
60.0,124.0,177.0,6500.0,12448.0,15862.0,385.0,1020.0,1405.0,446.0,969.0,1226.0,1366900
1208.0,5451.0,13910.0,35771.0,195950.0,875767.0,3022.0,15718.0,56832.0,9272.0,37129.0,135166.0,2440600
139.0,594.0,615.0,16683.0,63838.0,66114.0,1294.0,5230.0,5393.0,949.0,4678.0,4767.0,3908700
137.0,1133.0,1472.0,11972.0,58813.0,76549.0,569.0,3375.0,4622.0,1258.0,7564.0,9299.0,1110900
893.0,7677.0,24814.0,292422.0,745983.0,1389038.0,6165.0,42998.0,101425.0,17928.0,108738.0,248867.0,1994800
146.0,337.0,347.0,5607.0,13282.0,13688.0,255.0,765.0,806.0,569.0,1195.0,1243.0,1210000
346.0,2362.0,3811.0,7228.0,85796.0,136973.0,483.0,3678.0,7484.0,1296.0,12334.0,17522.0,4284000
1512.0,7056.0,20179.0,240860.0,501978.0,898805.0,14272.0,41412.0,76366.0,35130.0,91750.0,135947.0,1473900
474.0,3587.0,10452.0,32012.0,206819.0,470099.0,2727.0,17098.0,45134.0,2778.0,19799.0,46147.0,1010500
34.0,607.0,3362.0,2200.0,22852.0,97707.0,211.0,1998.0,8289.0,129.0,1768.0,11704.0,2864300
2505.0,14475.0,26141.0,72163.0,1011076.0,1447852.0,7752.0,74243.0,115722.0,12659.0,163252.0,235639.0,3234300
374.0,1371.0,2208.0,8531.0,42640.0,83772.0,582.0,3143.0,5752.0,1529.0,8262.0,12637.0,2526800
589.0,6242.0,11537.0,23635.0,209143.0,695528.0,2023.0,17863.0,43375.0,4362.0,36301.0,89579.0,6045100
133.0,2134.0,7005.0,9192.0,90127.0,259350.0,728.0,8467.0,22896.0,1499.0,9556.0,26448.0,1496300
1301.0,7770.0,16157.0,59423.0,301631.0,638206.0,4619.0,24521.0,57939.0,7970.0,30303.0,75620.0,4251900
18.0,54.0,81.0,680.0,1683.0,2920.0,25.0,100.0,207.0,82.0,267.0,446.0,3106900
578.0,2707.0,5586.0,18381.0,97170.0,265164.0,1832.0,9516.0,20473.0,1436.0,11263.0,25821.0,3011800
278.0,1605.0,2916.0,10523.0,47872.0,94716.0,458.0,2801.0,5453.0,589.0,5092.0,11314.0,4993200
1108.0,9183.0,15368.0,40391.0,268558.0,497151.0,2758.0,13561.0,29217.0,11608.0,53842.0,86229.0,4587100
25.0,186.0,1628.0,6835.0,20626.0,58728.0,239.0,1159.0,4978.0,278.0,990.0,6302.0,6828300
68.0,511.0,582.0,4988.0,16776.0,21193.0,187.0,886.0,1158.0,625.0,2479.0,2952.0,1412600
72.0,2243.0,6003.0,15217.0,115925.0,237330.0,1488.0,10546.0,22156.0,1731.0,12269.0,31284.0,6085600
688.0,3016.0,6202.0,18011.0,154340.0,326949.0,1337.0,9759.0,24660.0,2703.0,12190.0,33302.0,1803800
716.0,6247.0,8243.0,26268.0,210504.0,272801.0,2172.0,16100.0,21429.0,3602.0,36764.0,44052.0,1831000
16.0,229.0,284.0,823.0,11126.0,14075.0,106.0,1137.0,1586.0,95.0,851.0,1099.0,1563400
361.0,1164.0,3391.0,11425.0,56321.0,151958.0,993.0,3634.0,11075.0,1838.0,3757.0,15473.0,4141200
1262.0,9668.0,19534.0,29790.0,372762.0,994708.0,3452.0,34213.0,77497.0,3932.0,51060.0,136520.0,6089000
52.0,1221.0,4001.0,15856.0,77463.0,187596.0,1611.0,8888.0,19199.0,1026.0,4872.0,15327.0,5324100
43.0,150.0,311.0,1657.0,8697.0,13003.0,122.0,396.0,649.0,203.0,847.0,1387.0,1729900
1841.0,4959.0,9713.0,71004.0,219205.0,389057.0,5090.0,17149.0,28074.0,8781.0,20101.0,32782.0,5115100
101.0,461.0,611.0,8836.0,36790.0,53615.0,754.0,2426.0,3018.0,701.0,3122.0,3998.0,7047200
363.0,1076.0,2387.0,11616.0,54525.0,107166.0,1060.0,5802.0,10847.0,1343.0,6254.0,15002.0,1340800
260.0,3679.0,7345.0,15076.0,135494.0,304170.0,1618.0,8237.0,20733.0,1591.0,16481.0,44147.0,1829300
34.0,133.0,427.0,2816.0,9755.0,32587.0,265.0,1152.0,3370.0,207.0,646.0,2683.0,2154100
25.0,26.0,29.0,932.0,978.0,1119.0,55.0,60.0,74.0,103.0,108.0,123.0,6550500
265.0,2225.0,5950.0,11699.0,90020.0,291857.0,558.0,6575.0,18440.0,2018.0,12984.0,40168.0,1124900
225.0,1714.0,5242.0,15300.0,67983.0,205605.0,1800.0,6903.0,20921.0,1816.0,8999.0,37304.0,1644900
303.0,1095.0,2467.0,14212.0,37848.0,75456.0,1190.0,3052.0,4895.0,1465.0,3941.0,8726.0,4653300
289.0,983.0,1463.0,8640.0,48260.0,74900.0,650.0,2947.0,4514.0,1354.0,6460.0,9229.0,2377600
1582.0,10805.0,26519.0,34629.0,288877.0,899024.0,3909.0,23150.0,60657.0,4500.0,27462.0,79509.0,1739400
420.0,1452.0,1851.0,14532.0,60744.0,102546.0,1100.0,4608.0,7857.0,917.0,4531.0,7303.0,3343100
596.0,1568.0,2475.0,12743.0,36225.0,61405.0,745.0,2573.0,4337.0,1320.0,4125.0,6965.0,1141700
72.0,315.0,822.0,6830.0,20054.0,49960.0,276.0,1531.0,4538.0,333.0,2020.0,5125.0,1739100
303.0,2790.0,4738.0,20407.0,167937.0,237428.0,1137.0,6468.0,11495.0,2545.0,16358.0,26358.0,1464800
79.0,81.0,82.0,1494.0,1539.0,1550.0,51.0,54.0,55.0,213.0,218.0,221.0,5953600
1271.0,3056.0,6229.0,31460.0,101605.0,191315.0,1924.0,6531.0,14793.0,5139.0,10714.0,19790.0,5456300
54.0,680.0,1643.0,11356.0,62003.0,145965.0,1268.0,7269.0,13036.0,858.0,5386.0,10502.0,5479800
113.0,1507.0,2437.0,3118.0,48543.0,78422.0,83.0,2708.0,4144.0,337.0,5979.0,11280.0,6342200
611.0,785.0,838.0,13656.0,25299.0,27142.0,586.0,1262.0,1454.0,2400.0,3659.0,4010.0,1792300
160.0,2862.0,6535.0,14404.0,111304.0,255449.0,1091.0,10135.0,21444.0,643.0,8119.0,17107.0,2224700
250.0,597.0,611.0,18352.0,62542.0,65261.0,952.0,5283.0,5372.0,1709.0,4713.0,4754.0,622200
