store,centerxy_gla_1mi,centerxy_count_1mi,centerxy_gla_3mi,centerxy_count_3mi,centerxy_0p5_intersect_gla,centerxy_0p5_intersect_count,dmm_nearest_dist,centerxy_gla_5mi,centerxy_count_5mi,dmm_gla_3mi,dmm_count_3mi,dmm_gla_5mi,dmm_count_5mi,precip,snowfall,maxtemp,mintemp,avgmax40,avgmax50,osm_nearest_exit_dist,dmm_gla_1mi,dmm_count_1mi,avgmax60,avgmax70,avgmax80,avgmax90,avgmax100,osm_highway_exits_count_5mi,osm_highway_exits_count_1mi,osm_highway_exits_count_3mi,transitstops,transitstop_nearest_dist
478100,579179.0,2,3072919.0,8,579179.0,2,46.99932122326169,6962077.0,22,0.0,0,0.0,0,361.5,0.0,57.7,39.6,280.8,228.7,1.9674455632836372,0.0,0,176.0,121.3,51.0,6.3,0.0,33,0,18,0,11.099551011529622
1108200,0.0,0,1479323.0,5,0.0,0,20.913287283717167,2450540.0,9,0.0,0,0.0,0,410.0,9.2,57.8,44.6,344.4,262.9,2.1874596588178363,0.0,0,160.4,65.4,3.5,0.0,0.0,5,0,1,0,6.303202075340814
3967600,1224191.0,3,3687015.0,14,0.0,0,137.0463256982356,9056142.0,30,0.0,0,0.0,0,206.5,34.9,48.2,27.6,219.8,184.7,1.063446822909384,0.0,0,148.2,100.4,40.0,5.2,0.1,19,0,11,0,133.8281677225623
1609900,0.0,0,1534637.0,6,0.0,0,65.71701616943616,1534637.0,6,0.0,0,0.0,0,388.7,97.7,58.3,39.6,281.2,229.1,2.2899614746161654,0.0,0,182.2,130.7,59.8,8.3,0.1,8,0,6,0,63.19975943680301
2591600,1809715.0,5,5281292.0,17,326896.0,1,42.295402008679325,8399503.0,27,0.0,0,0.0,0,361.5,0.0,57.7,39.6,280.8,228.7,0.2004206249859485,0.0,0,176.0,121.3,51.0,6.3,0.0,23,6,13,1,0.4252187895471613
3961100,0.0,0,3924423.0,8,0.0,0,51.54671286095065,12230094.0,31,0.0,0,0.0,0,317.2,0.0,54.1,35.0,254.4,206.6,1.429466474913872,0.0,0,159.2,105.5,35.2,2.3,0.0,83,0,38,0,8.961948951292596
741200,141489.0,1,882673.0,3,141489.0,1,353.97650881767026,1373440.0,5,0.0,0,0.0,0,410.0,9.2,57.8,44.6,344.4,262.9,0.8261203697004776,0.0,0,160.4,65.4,3.5,0.0,0.0,5,2,5,0,321.11665853167614
7051900,0.0,0,2315808.0,7,0.0,0,96.59758992253808,3527768.0,13,0.0,0,0.0,0,317.2,0.0,54.1,35.0,254.4,206.6,2.5297351694763446,0.0,0,159.2,105.5,35.2,2.3,0.0,29,0,7,0,60.731151839276805
1289900,0.0,0,3163468.0,11,0.0,0,135.55387637185086,10110470.0,34,0.0,0,0.0,0,206.5,34.9,48.2,27.6,219.8,184.7,1.3441959751703416,0.0,0,148.2,100.4,40.0,5.2,0.1,25,0,5,0,132.32895739263762
6181400,253085.0,2,1429836.0,6,146304.0,1,55.18582015959321,5043196.0,15,0.0,0,0.0,0,361.5,0.0,57.7,39.6,280.8,228.7,3.069604799959755,0.0,0,176.0,121.3,51.0,6.3,0.0,21,0,0,0,32.508241922589725
5194600,326303.0,1,937355.0,4,0.0,0,42.82541279818904,5328421.0,19,0.0,0,0.0,0,361.5,0.0,57.7,39.6,280.8,228.7,2.767586063330326,0.0,0,176.0,121.3,51.0,6.3,0.0,25,0,4,0,5.282192193334601
2468800,2012953.0,4,4744238.0,10,1217427.0,1,56.63226171404122,7324269.0,17,0.0,0,0.0,0,415.7,0.0,53.1,34.9,251.3,204.2,0.0873857381397218,0.0,0,159.2,102.6,29.7,1.1,0.0,101,6,50,0,10.524164059574384
4428700,2473121.0,2,3225291.0,6,1800000.0,1,237.8770029260656,5811751.0,15,0.0,0,0.0,0,458.2,57.8,52.7,35.8,269.0,205.1,0.1365998411940547,0.0,0,139.5,71.6,14.9,0.7,0.0,55,13,44,0,320.9554662086036
2956600,0.0,0,1070060.0,5,0.0,0,59.90761947307485,6222931.0,17,0.0,0,0.0,0,376.8,80.6,53.5,34.8,255.1,206.0,0.4164113868045591,0.0,0,159.7,104.3,36.8,2.0,0.0,88,9,37,0,5.003999912140222
658900,365406.0,2,2131733.0,11,365406.0,2,162.56923716990386,2308154.0,12,0.0,0,0.0,0,576.1,57.7,56.9,41.1,304.4,215.6,2.5132312279345848,0.0,0,147.9,88.2,39.8,8.3,0.2,15,0,9,0,162.01642556023265
2603500,0.0,0,0.0,0,0.0,0,157.37306490762347,0.0,0,0.0,0,0.0,0,169.5,0.0,54.7,26.0,285.3,215.5,27.408187681163096,0.0,0,149.9,89.6,36.4,4.4,0.0,0,0,0,0,129.8561996153191
1315700,1002594.0,3,2615410.0,8,111000.0,1,48.579859595366,3392045.0,12,0.0,0,0.0,0,362.0,54.2,54.7,34.5,256.0,211.0,1.0687722580741126,0.0,0,167.1,114.4,46.2,3.6,0.0,16,0,9,0,60.5277857700717
1185500,0.0,0,3829115.0,13,0.0,0,52.629967426294336,6752959.0,24,0.0,0,0.0,0,362.0,54.2,54.7,34.5,256.0,211.0,1.3445810910123877,0.0,0,167.1,114.4,46.2,3.6,0.0,28,0,19,0,59.42697781007431
2907900,688329.0,2,2298193.0,8,0.0,0,24.51080280174675,2562108.0,10,0.0,0,0.0,0,410.0,9.2,57.8,44.6,344.4,262.9,2.107002231965978,0.0,0,160.4,65.4,3.5,0.0,0.0,29,0,9,0,9.999629136222708
1361600,0.0,0,300000.0,1,0.0,0,50.52418519263715,9249974.0,17,0.0,0,0.0,0,317.2,0.0,54.1,35.0,254.4,206.6,0.4485289312690816,0.0,0,159.2,105.5,35.2,2.3,0.0,125,4,47,0,13.076201088825863
1366900,0.0,0,0.0,0,0.0,0,96.20752598131163,0.0,0,0.0,0,0.0,0,317.2,0.0,54.1,35.0,254.4,206.6,9.419711513630036,0.0,0,159.2,105.5,35.2,2.3,0.0,0,0,0,0,53.623428076790056
2440600,599363.0,3,1902569.0,8,219109.0,1,57.29622606396603,6925632.0,26,0.0,0,0.0,0,376.8,80.6,53.5,34.8,255.1,206.0,1.3611000918849665,0.0,0,159.7,104.3,36.8,2.0,0.0,108,0,34,0,2.5237833838622525
3908700,796456.0,2,1409217.0,5,796456.0,2,209.85867553200515,2587217.0,6,0.0,0,0.0,0,169.5,0.0,54.7,26.0,285.3,215.5,0.1435288732899512,0.0,0,149.9,89.6,36.4,4.4,0.0,14,5,10,0,191.6117707777056
1110900,0.0,0,1732849.0,6,0.0,0,81.77038429335248,2190306.0,7,0.0,0,0.0,0,443.6,81.3,53.9,31.3,255.1,203.6,1.0108878905125471,0.0,0,157.9,106.0,42.6,3.9,0.0,31,0,18,0,215.8523607101215
1994800,1775132.0,8,2298947.0,10,281174.0,1,55.60091386179764,8141444.0,28,0.0,0,0.0,0,376.8,80.6,53.5,34.8,255.1,206.0,0.1574388522473437,0.0,0,159.7,104.3,36.8,2.0,0.0,111,4,49,0,0.6425413923745891
1210000,271935.0,1,271935.0,1,0.0,0,197.8193273896908,271935.0,1,0.0,0,0.0,0,169.5,0.0,54.7,26.0,285.3,215.5,11.378054237124836,0.0,0,149.9,89.6,36.4,4.4,0.0,0,0,0,0,173.90191105673733
4284000,0.0,0,1352185.0,4,0.0,0,32.62165969255782,2375240.0,7,0.0,0,0.0,0,360.8,100.2,55.4,35.0,269.4,218.2,3.444958373007378,0.0,0,169.4,113.4,38.4,1.5,0.0,9,0,0,0,52.03952687453768
1473900,1055728.0,3,1414338.0,5,907513.0,2,43.69899921581642,4825091.0,14,0.0,0,0.0,0,410.0,9.2,57.8,44.6,344.4,262.9,3.2691512569282555,0.0,0,160.4,65.4,3.5,0.0,0.0,46,0,0,0,0.8484570783564972
1010500,301565.0,2,3290704.0,12,102885.0,1,31.299334511214813,5625119.0,25,0.0,0,0.0,0,410.0,9.2,57.8,44.6,344.4,262.9,2.048520499656961,0.0,0,160.4,65.4,3.5,0.0,0.0,63,0,5,0,13.687822133914468
2864300,0.0,0,0.0,0,0.0,0,142.8476437216982,100000.0,1,0.0,0,0.0,0,206.5,34.9,48.2,27.6,219.8,184.7,1.1210730087189549,0.0,0,148.2,100.4,40.0,5.2,0.1,25,0,15,0,139.59515060235483
3234300,588539.0,1,6144176.0,20,0.0,0,44.588807907321055,12403639.0,36,0.0,0,0.0,0,361.5,0.0,57.7,39.6,280.8,228.7,2.1488149554356437,0.0,0,176.0,121.3,51.0,6.3,0.0,46,0,10,0,2.2594025367121398
