store,longitude,latitude,cbsa_name,dma_name,market_size,store_density,censusregion,censusdivision
1000100,-79.18506,43.77183,,"Toronto, ON",Very Large Metro (1),Suburban,Ontario / Ontario,Toronto
1004200,-79.390732,43.708531,,"Toronto, ON",Very Large Metro (1),Light Urban,Ontario / Ontario,Toronto
1004300,-79.403146,43.73019,,"Toronto, ON",Very Large Metro (1),Light Urban,Ontario / Ontario,Toronto
1007200,-119.272507,50.261694,,"Vernon, BC",Small Town (6),Exurban,British Columbia / Colombie-Britannique,North Okanagan
1007300,-75.70321,45.475094,,"Ottawa - Gatineau, PQ",Medium City (4),Suburban,Quebec / Québec,Gatineau
1008400,-63.601063,44.659167,,"Halifax, NS",Medium City (4),Light Urban,Atlantic / Atlantique,Halifax
1010000,-79.705383,43.449082,,"Toronto, ON",Very Large Metro (1),Suburban,Ontario / Ontario,Halton
1010500,-122.866624,49.176758,,"Vancouver, BC",Very Large Metro (1),Suburban,British Columbia / Colombie-Britannique,Greater Vancouver
1012100,-82.369497,42.960926,,"Sarnia, ON",Small City (5),Light Suburban,Ontario / Ontario,Lambton
1012600,-113.264031,51.70743,,,Small Community (7),Rural,Prairies / Prairies,Division No.  5
1013300,-113.932902,51.069617,,"Calgary, AB",Large Metro (2),Light Suburban,Prairies / Prairies,Division No.  6
1017600,-84.320028,46.5308,,"Sault Ste. Marie, ON",Small City (5),Light Suburban,Ontario / Ontario,Algoma
1020800,-97.115187,49.825584,,"Winnipeg, MB",Large City (3),Suburban,Prairies / Prairies,Division No. 11
1025300,-80.955723,43.371334,,"Stratford, ON",Small Town (6),Exurban,Ontario / Ontario,Perth
1028000,-80.887339,43.042748,,"Ingersoll, ON",Small Town (6),Exurban,Ontario / Ontario,Oxford
1030000,-79.900148,43.522706,,"Toronto, ON",Very Large Metro (1),Light Suburban,Ontario / Ontario,Halton
1036200,-114.16915,51.017083,,"Calgary, AB",Large Metro (2),Light Suburban,Prairies / Prairies,Division No.  6
1036300,-79.795245,43.729082,,"Toronto, ON",Very Large Metro (1),Suburban,Ontario / Ontario,Peel
1045200,-122.801556,49.034396,,"Vancouver, BC",Very Large Metro (1),Suburban,British Columbia / Colombie-Britannique,Greater Vancouver
1053600,-123.123759,49.155196,,"Vancouver, BC",Very Large Metro (1),Suburban,British Columbia / Colombie-Britannique,Greater Vancouver
1065300,-114.092253,51.082414,,"Calgary, AB",Large Metro (2),Light Urban,Prairies / Prairies,Division No.  6
1084300,-114.013269,50.977804,,"Calgary, AB",Large Metro (2),Suburban,Prairies / Prairies,Division No.  6
1084400,-123.102749,49.324,,"Vancouver, BC",Very Large Metro (1),Suburban,British Columbia / Colombie-Britannique,Greater Vancouver
1088700,-110.653208,50.011387,,"Medicine Hat, AB",Small Town (6),Light Suburban,Prairies / Prairies,Division No.  1
1096600,-113.540135,53.593098,,"Edmonton, AB",Large Metro (2),Light Suburban,Prairies / Prairies,Division No. 11
1098500,-122.732603,49.103598,,"Vancouver, BC",Very Large Metro (1),Light Suburban,British Columbia / Colombie-Britannique,Greater Vancouver
1098800,-97.152069,49.948831,,"Winnipeg, MB",Large City (3),Suburban,Prairies / Prairies,Division No. 11
1100400,-123.155779,49.235216,,"Vancouver, BC",Very Large Metro (1),Light Urban,British Columbia / Colombie-Britannique,Greater Vancouver
1103200,-78.2694,44.427822,,"Peterborough, ON",Small City (5),Rural,Ontario / Ontario,Peterborough
1103800,-80.36795,43.697842,,"Centre Wellington, ON",Small Town (6),Exurban,Ontario / Ontario,Wellington
1104900,-122.958203,50.11549,,,Small Community (7),Exurban,British Columbia / Colombie-Britannique,Squamish-Lillooet
1107400,-79.949583,43.266096,,"Hamilton, ON",Large City (3),Exurban,Ontario / Ontario,Hamilton
1108100,-123.69832,48.777698,,"Duncan, BC",Small Town (6),Exurban,British Columbia / Colombie-Britannique,Cowichan Valley
1108200,-122.669816,49.075889,,"Vancouver, BC",Very Large Metro (1),Light Suburban,British Columbia / Colombie-Britannique,Greater Vancouver
1110900,-66.648687,45.977018,,"Fredericton, NB",Small City (5),Light Suburban,Atlantic / Atlantique,York
1111100,-82.452687,42.89137,,"Sarnia, ON",Small City (5),Exurban,Ontario / Ontario,Lambton
1112300,-114.07187,51.031889,,"Calgary, AB",Large Metro (2),Light Urban,Prairies / Prairies,Division No.  6
1114800,-75.907589,45.334832,,"Ottawa - Gatineau, ON",Large Metro (2),Light Suburban,Ontario / Ontario,Ottawa
1116200,-54.601504,48.953354,,"Gander, NF",Small Town (6),Exurban,Atlantic / Atlantique,Division No.  6
1116300,-64.776012,46.088643,,"Moncton, NB",Small City (5),Light Suburban,Atlantic / Atlantique,Westmorland
1116600,-120.847794,56.243894,,"Fort St. John, BC",Small Town (6),Exurban,British Columbia / Colombie-Britannique,Peace River
1117900,-66.06109,45.272855,,"Saint John, NB",Small City (5),Light Suburban,Atlantic / Atlantique,Saint John
1118600,-79.112604,43.819224,,"Toronto, ON",Very Large Metro (1),Light Suburban,Ontario / Ontario,Durham
1120000,-121.972087,49.142304,,"Chilliwack, BC",Small City (5),Light Suburban,British Columbia / Colombie-Britannique,Fraser Valley
1124300,-63.65686,44.661635,,"Halifax, NS",Medium City (4),Light Suburban,Atlantic / Atlantique,Halifax
1124900,-75.64118,45.485353,,"Ottawa - Gatineau, PQ",Medium City (4),Light Suburban,Quebec / Québec,Gatineau
1125200,-75.717151,45.370642,,"Ottawa - Gatineau, ON",Large Metro (2),Suburban,Ontario / Ontario,Ottawa
1125700,-80.964303,44.562376,,"Owen Sound, ON",Small Town (6),Exurban,Ontario / Ontario,Grey
1127000,-60.220276,46.111457,,"Cape Breton, NS",Small City (5),Exurban,Atlantic / Atlantique,Cape Breton
1127400,-79.602007,43.624349,,"Toronto, ON",Very Large Metro (1),Light Urban,Ontario / Ontario,Peel
1127700,-73.826149,45.467596,,"Montréal, PQ",Very Large Metro (1),Suburban,Quebec / Québec,MontrACal
1128200,-123.156569,49.328521,,"Vancouver, BC",Very Large Metro (1),Suburban,British Columbia / Colombie-Britannique,Greater Vancouver
1128400,-119.281158,50.700903,,"Salmon Arm, BC",Small Town (6),Exurban,British Columbia / Colombie-Britannique,Columbia-Shuswap
1128500,-63.26853,45.37252,,"Truro, NS",Small Town (6),Exurban,Atlantic / Atlantique,Colchester
