store,longitude,latitude,cbsa_name,dma_name,market_size,store_density,censusregion,censusdivision
1000,-72.6841893177605,41.55437435042978,"Hartford-West Hartford-East Hartford, CT","Hartford & New Haven, CT",Large Metro (2),Exurban,Northeast,New England
1000700,-115.18199408751694,36.118911575398265,"Las Vegas-Henderson-Paradise, NV","Las Vegas, NV",Large Metro (2),Light Urban,West,Mountain
1000900,-115.11809828519847,36.14404912990226,"Las Vegas-Henderson-Paradise, NV","Las Vegas, NV",Large Metro (2),Light Urban,West,Mountain
1001100,-83.798431633628,38.6323192383074,"Maysville, KY","Cincinnati, OH",Small Town (6),Rural,South,East South Central
1001200,-68.68932518945437,45.657700814529,"Bangor, ME","Bangor, ME",Small City (5),Rural,Northeast,New England
1001300,-68.74611715817456,44.78234497933907,"Bangor, ME","Bangor, ME",Small City (5),Exurban,Northeast,New England
1001500,-71.58659079382771,43.26561399935569,"Concord, NH","Boston et al, MA-NH",Small City (5),Rural,Northeast,New England
1002000,-95.243597,29.642439,"Houston-The Woodlands-Sugar Land, TX","Houston, TX",Very Large Metro (1),Light Suburban,South,West South Central
1002100,-83.32148887247364,43.04081060217032,"Detroit-Warren-Dearborn, MI","Detroit, MI",Very Large Metro (1),Rural,Midwest,East North Central
1002400,-96.645195,32.864012,"Dallas-Fort Worth-Arlington, TX","Dallas-Ft. Worth, TX",Very Large Metro (1),Light Suburban,South,West South Central
1002600,-75.93216197258307,42.10381291140062,"Binghamton, NY","Binghamton, NY",Medium City (4),Light Suburban,Northeast,Middle Atlantic
1002900,-84.24894145244174,43.64223862029218,"Midland, MI","Flint-Saginaw et al, MI",Small City (5),Exurban,Midwest,East North Central
100300,-76.196516,36.91836,"Virginia Beach-Norfolk-Newport News, VA-NC","Norfolk et al, VA",Large Metro (2),Exurban,South,South Atlantic
1003100,-80.10980760593155,26.20458219280164,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Ft. Lauderdale, FL",Very Large Metro (1),Suburban,South,South Atlantic
1003300,-88.47583648507319,33.98155026987818,,"Columbus et al, MS",Small Community (7),Rural,South,East South Central
1003600,-81.499837,38.45859,"Charleston, WV","Charleston et al, WV",Medium City (4),Rural,South,South Atlantic
1003700,-73.85777929248601,40.95343182835364,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Suburban,Northeast,Middle Atlantic
1003800,-157.75423164146284,21.279125707547326,"Urban Honolulu, HI","Honolulu, HI",Large Metro (2),Exurban,West,Pacific
1004500,-91.13676786171415,38.822606985846654,"St. Louis, MO-IL","St. Louis, MO",Very Large Metro (1),Rural,Midwest,West North Central
1004600,-79.241865,37.385652,"Lynchburg, VA","Roanoke-Lynchburg, VA",Medium City (4),Exurban,South,South Atlantic
1004800,-80.63514665764818,27.997002252220327,"Palm Bay-Melbourne-Titusville, FL","Orlando et al, FL",Large City (3),Exurban,South,South Atlantic
100500,-86.57814509350865,39.16613031392938,"Bloomington, IN","Indianapolis, IN",Small City (5),Light Suburban,Midwest,East North Central
1005100,-97.596213,33.219254,"Dallas-Fort Worth-Arlington, TX","Dallas-Ft. Worth, TX",Very Large Metro (1),Rural,South,West South Central
1005200,-97.114422,32.720639,"Dallas-Fort Worth-Arlington, TX","Dallas-Ft. Worth, TX",Very Large Metro (1),Suburban,South,West South Central
1005400,-88.2759793889154,39.79124969088061,,"Champaign et al, IL",Small Community (7),Rural,Midwest,East North Central
1005500,-87.76144240545868,41.968973145866265,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Suburban,Midwest,East North Central
1005600,-87.59163989413203,41.79992456419355,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Light Urban,Midwest,East North Central
1005900,-97.135977,33.64203,"Gainesville, TX","Dallas-Ft. Worth, TX",Small Town (6),Rural,South,West South Central
1006100,-83.45826727356227,42.358727331337235,"Detroit-Warren-Dearborn, MI","Detroit, MI",Very Large Metro (1),Light Suburban,Midwest,East North Central
1006300,-121.30628076687658,44.08469008419077,"Bend-Redmond, OR","Bend, OR",Medium City (4),Exurban,West,Pacific
1006400,-96.41381079384274,42.463708553938574,"Sioux City, IA-NE-SD","Sioux City, IA",Small City (5),Exurban,Midwest,West North Central
1006500,-87.64157052275348,41.68313156020283,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Light Suburban,Midwest,East North Central
1006800,-99.504633,27.555612,"Laredo, TX","Laredo, TX",Medium City (4),Light Suburban,South,West South Central
1006900,-96.60221048271663,46.263550203250695,"Wahpeton, ND-MN","Fargo-Valley City, ND",Small Town (6),Rural,Midwest,West North Central
1007000,-82.18577268236862,41.44001265035599,"Cleveland-Elyria, OH","Cleveland et al, OH",Large Metro (2),Exurban,Midwest,East North Central
1007600,-117.233699,47.657536,"Spokane-Spokane Valley, WA","Spokane, WA",Large City (3),Light Suburban,West,Pacific
1007900,-93.3202290993341,41.014837429338485,,"Des Moines-Ames, IA",Small Community (7),Rural,Midwest,West North Central
1008000,-105.574637,41.309729,"Laramie, WY","Denver, CO",Small Town (6),Exurban,West,Mountain
1008200,-89.237384,37.995936,,"Paducah et al, KY-MO-IL",Small Community (7),Rural,Midwest,East North Central
1008300,-90.43828536357023,37.7903330286699,"Farmington, MO","St. Louis, MO",Small Town (6),Rural,Midwest,West North Central
1008500,-117.00698442735036,32.80410782083234,"San Diego-Carlsbad, CA","San Diego, CA",Very Large Metro (1),Light Suburban,West,Pacific
1008800,-118.80975797724071,34.25390491210044,"Oxnard-Thousand Oaks-Ventura, CA","Los Angeles, CA",Large City (3),Exurban,West,Pacific
100900,-80.09421581369482,26.458783322595348,"Miami-Fort Lauderdale-West Palm Beach, FL","W. Palm Beach et al, FL",Very Large Metro (1),Light Suburban,South,South Atlantic
1009000,-119.65649580402268,36.342400991060806,"Hanford-Corcoran, CA","Fresno-Visalia, CA",Small City (5),Exurban,West,Pacific
1009200,-97.265176,32.802609,"Dallas-Fort Worth-Arlington, TX","Dallas-Ft. Worth, TX",Very Large Metro (1),Exurban,South,West South Central
1009300,-97.008149,32.673594,"Dallas-Fort Worth-Arlington, TX","Dallas-Ft. Worth, TX",Very Large Metro (1),Light Suburban,South,West South Central
1009500,-93.96515693072101,44.315415847156174,"Mankato-North Mankato, MN","Minneapolis-St. Paul, MN",Small City (5),Rural,Midwest,West North Central
1009600,-95.26900617241445,38.604606678488175,"Ottawa, KS","Kansas City, MO-KS",Small Town (6),Rural,Midwest,West North Central
1009700,-75.429672985498,40.63972962811951,"Allentown-Bethlehem-Easton, PA-NJ","Philadelphia, PA",Large City (3),Light Suburban,Northeast,Middle Atlantic
101000,-85.42830027659457,40.21992591773853,"Muncie, IN","Indianapolis, IN",Small City (5),Exurban,Midwest,East North Central
1010300,-88.061216,44.530662,"Green Bay, WI","Green Bay-Appleton, WI",Medium City (4),Light Suburban,Midwest,East North Central
1010400,-92.43807539335928,41.01615974421132,"Ottumwa, IA","Ottumwa et al, IA-MO",Small Town (6),Rural,Midwest,West North Central
1010800,-118.16592019853233,33.97006488645071,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Suburban,West,Pacific
1010900,-86.28369030794441,32.357439063414695,"Montgomery, AL","Montgomery-Selma, AL",Medium City (4),Light Suburban,South,East South Central
1011000,-84.17588877653732,31.564169078898328,"Albany, GA","Albany, GA",Small City (5),Exurban,South,South Atlantic
1011100,-84.93493021563016,32.458294191408044,"Columbus, GA-AL","Columbus et al, GA-AL",Medium City (4),Exurban,South,South Atlantic
1011200,-88.56533872427634,47.122008511873744,"Houghton, MI","Marquette, MI",Small Town (6),Exurban,Midwest,East North Central
1011300,-95.74755142848102,39.028933147626844,"Topeka, KS","Topeka, KS",Medium City (4),Exurban,Midwest,West North Central
1011500,-87.14058451914009,30.334348016871623,"Pensacola-Ferry Pass-Brent, FL","Mobile et al, AL-FL",Large City (3),Exurban,South,South Atlantic
1011600,-84.32916636174008,30.501009312110366,"Tallahassee, FL","Tallahassee et al, FL-GA",Medium City (4),Exurban,South,South Atlantic
1011900,-98.69887648219445,46.89946037673499,"Jamestown, ND","Fargo-Valley City, ND",Small Town (6),Rural,Midwest,West North Central
101200,-77.26962171204775,39.17826308235541,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington et al, DC-MD",Very Large Metro (1),Exurban,South,South Atlantic
1012000,-78.89102157401881,36.03592874087349,"Durham-Chapel Hill, NC","Raleigh et al, NC",Large City (3),Exurban,South,South Atlantic
1012200,-118.0337754335946,33.961692707793446,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Suburban,West,Pacific
1012300,-89.95483662015103,34.62028021531073,"Memphis, TN-MS-AR","Memphis, TN",Large Metro (2),Rural,South,East South Central
1012400,-91.17726476550747,30.417892931660624,"Baton Rouge, LA","Baton Rouge, LA",Large City (3),Light Suburban,South,West South Central
1012700,-82.20353088762502,35.24960190903175,,"Greenville et al, SC-NC",Small Community (7),Rural,South,South Atlantic
1012900,-72.33172409181593,41.96911528270096,"Hartford-West Hartford-East Hartford, CT","Hartford & New Haven, CT",Large Metro (2),Rural,Northeast,New England
1013000,-82.10871515624206,41.49013357004294,"Cleveland-Elyria, OH","Cleveland et al, OH",Large Metro (2),Rural,Midwest,East North Central
1013100,-71.36178626261427,43.22788077669281,"Concord, NH","Boston et al, MA-NH",Small City (5),Rural,Northeast,New England
1013200,-93.87884305492365,39.16776585443478,"Kansas City, MO-KS","Kansas City, MO-KS",Large Metro (2),Rural,Midwest,West North Central
